shape_ris	shape_bet	long_var	short_var	dom_1	dom_2	coexist
200.000000	5.000000	1000.000000	316.227766	0.000000	100.000000	0.000000
200.000000	5.000000	1000.000000	100.000000	0.000000	100.000000	0.000000
200.000000	5.000000	1000.000000	31.622777	0.000000	100.000000	0.000000
200.000000	5.000000	1000.000000	10.000000	6.000000	94.000000	0.000000
200.000000	5.000000	1000.000000	3.162278	43.000000	57.000000	0.000000
200.000000	5.000000	316.227766	316.227766	0.000000	100.000000	0.000000
200.000000	5.000000	316.227766	100.000000	1.000000	99.000000	0.000000
200.000000	5.000000	316.227766	31.622777	0.000000	100.000000	0.000000
200.000000	5.000000	316.227766	10.000000	10.000000	90.000000	0.000000
200.000000	5.000000	316.227766	3.162278	37.000000	63.000000	0.000000
200.000000	5.000000	100.000000	316.227766	13.000000	87.000000	0.000000
200.000000	5.000000	100.000000	100.000000	4.000000	96.000000	0.000000
200.000000	5.000000	100.000000	31.622777	10.000000	90.000000	0.000000
200.000000	5.000000	100.000000	10.000000	20.000000	80.000000	0.000000
200.000000	5.000000	100.000000	3.162278	37.000000	63.000000	0.000000
200.000000	5.000000	31.622777	316.227766	27.000000	73.000000	0.000000
200.000000	5.000000	31.622777	100.000000	36.000000	64.000000	0.000000
200.000000	5.000000	31.622777	31.622777	22.000000	78.000000	0.000000
200.000000	5.000000	31.622777	10.000000	27.000000	73.000000	0.000000
200.000000	5.000000	31.622777	3.162278	22.000000	78.000000	0.000000
200.000000	5.000000	10.000000	316.227766	54.000000	46.000000	0.000000
200.000000	5.000000	10.000000	100.000000	40.000000	60.000000	0.000000
200.000000	5.000000	10.000000	31.622777	36.000000	64.000000	0.000000
200.000000	5.000000	10.000000	10.000000	30.000000	70.000000	0.000000
200.000000	5.000000	10.000000	3.162278	16.000000	84.000000	0.000000
