N1	N2	time	environment	abf_1	abf_2
250.000000	250.000000	0.000000	0.000000	0.000000	0.000000
251.407118	251.407118	0.250000	39.982495	0.022403	0.022403
252.815926	252.815926	0.500000	39.982495	0.022305	0.022305
254.226357	254.226357	0.750000	39.982495	0.022206	0.022206
255.638344	255.638344	1.000000	39.982495	0.022107	0.022107
281.388811	276.267813	1.250000	42.200039	0.351706	0.281227
304.765674	294.239911	1.500000	42.200039	0.290426	0.226429
325.389406	309.428083	1.750000	42.200039	0.236870	0.179397
343.141480	321.920754	2.000000	42.200039	0.191216	0.140060
300.967500	327.182346	2.250000	39.558748	-0.487986	0.074992
268.571281	333.976862	2.500000	39.558748	-0.428292	0.087494
242.795214	341.642721	2.750000	39.558748	-0.382641	0.092896
221.714355	349.731486	3.000000	39.558748	-0.346787	0.093658
244.311150	363.782293	3.250000	42.215427	0.361492	0.135983
265.613173	374.424438	3.500000	42.215427	0.310264	0.097504
285.305502	382.057419	3.750000	42.215427	0.264660	0.066345
303.205837	387.156121	4.000000	42.215427	0.224670	0.041707
278.616072	386.477447	4.250000	40.348507	-0.315405	0.002438
258.846955	387.463633	4.500000	40.348507	-0.276471	0.016400
242.570423	389.541993	4.750000	40.348507	-0.245446	0.025348
228.905992	392.319262	5.000000	40.348507	-0.220239	0.030783
311.722748	402.408380	5.250000	44.368795	1.150270	0.060485
405.574863	404.283171	5.500000	44.368795	0.961251	-0.018540
503.053639	398.795074	5.750000	44.368795	0.770555	-0.085822
595.800118	387.565054	6.000000	44.368795	0.593632	-0.137886
530.509700	372.051071	6.250000	41.723261	-0.400241	-0.126350
486.393595	363.173133	6.500000	41.723261	-0.304182	-0.072840
454.945949	358.357247	6.750000	41.723261	-0.236982	-0.037761
431.632537	356.136393	7.000000	41.723261	-0.188280	-0.014479
413.826770	355.609831	7.250000	41.723475	-0.151967	0.000953
399.889686	356.193261	7.500000	41.723475	-0.124415	0.011024
388.761739	357.494634	7.750000	41.723475	-0.103094	0.017385
379.726754	359.243961	8.000000	41.723475	-0.086345	0.021158
350.298588	359.816422	8.250000	40.879283	-0.295892	0.016366
327.288317	362.008824	8.500000	40.879283	-0.251391	0.030526
308.790589	365.219322	8.750000	40.879283	-0.216798	0.038996
293.583354	369.041644	9.000000	40.879283	-0.189321	0.043581
275.984432	372.596347	9.250000	40.606867	-0.232280	0.041389
261.330896	376.671364	9.500000	40.606867	-0.206125	0.045018
248.918930	381.013328	9.750000	40.606867	-0.184693	0.046302
238.254436	385.444389	10.000000	40.606867	-0.166846	0.045997
244.842403	391.983098	10.250000	41.555264	0.100503	0.058782
250.552789	396.999877	10.500000	41.555264	0.085014	0.044112
255.492119	400.776048	10.750000	41.555264	0.072068	0.032552
259.761363	403.558037	11.000000	41.555264	0.061264	0.023527
266.157779	405.815977	11.250000	41.684042	0.090471	0.017884
271.794801	407.226498	11.500000	41.684042	0.078028	0.010512
276.758239	407.990736	11.750000	41.684042	0.067456	0.004980
281.127745	408.271416	12.000000	41.684042	0.058463	0.000898
272.001028	406.889604	12.250000	41.061373	-0.123024	-0.008979
264.323240	406.379139	12.500000	41.061373	-0.107197	-0.001766
257.783500	406.482644	12.750000	41.061373	-0.094152	0.003295
252.152934	407.012785	13.000000	41.061373	-0.083277	0.006767
218.491309	400.925550	13.250000	38.612286	-0.540087	-0.042640
192.319475	398.139661	13.500000	38.612286	-0.485225	-0.015925
171.332789	397.550991	13.750000	38.612286	-0.442577	0.002184
154.088640	398.436736	14.000000	38.612286	-0.408649	0.014307
151.670597	405.833064	14.250000	40.398102	-0.063718	0.067571
149.266303	412.153277	14.500000	40.398102	-0.063980	0.056815
146.903578	417.549369	14.750000	40.398102	-0.063583	0.047880
144.602581	422.158559	15.000000	40.398102	-0.062678	0.040474
146.126078	427.275664	15.250000	40.805048	0.038599	0.042881
147.426672	431.344950	15.500000	40.805048	0.032719	0.033661
148.541474	434.559288	15.750000	40.805048	0.027899	0.026307
149.501834	437.082302	16.000000	40.805048	0.023944	0.020465
154.566620	440.145069	16.250000	41.197883	0.127338	0.023226
159.329523	442.228819	16.500000	41.197883	0.116120	0.015209
163.805296	443.539184	16.750000	41.197883	0.106098	0.008976
168.008430	444.246342	17.000000	41.197883	0.097106	0.004173
147.101985	433.734362	17.250000	37.921627	-0.508409	-0.078599
130.234780	426.888661	17.500000	37.921627	-0.469012	-0.051238
116.315947	422.599395	17.750000	37.921627	-0.437607	-0.031398
104.619200	420.121517	18.000000	37.921627	-0.412129	-0.016992
107.150691	428.346087	18.250000	40.712763	0.090191	0.068962
109.449614	434.914715	18.500000	40.712763	0.080305	0.053922
111.544548	440.099949	18.750000	40.712763	0.071939	0.041822
113.461378	444.146551	19.000000	40.712763	0.064845	0.032151
129.868872	451.418542	19.250000	42.220066	0.521729	0.052058
147.225909	455.925217	19.500000	42.220066	0.483403	0.029070
165.319280	458.088950	19.750000	42.220066	0.445476	0.010192
