shape_ris	shape_bet	long_var	short_var	dom_1	dom_2	coexist
50.000000	5.000000	1000.000000	316.227766	100.000000	0.000000	0.000000
50.000000	5.000000	1000.000000	100.000000	100.000000	0.000000	0.000000
50.000000	5.000000	1000.000000	31.622777	9.000000	91.000000	0.000000
50.000000	5.000000	1000.000000	10.000000	0.000000	100.000000	0.000000
50.000000	5.000000	1000.000000	3.162278	0.000000	100.000000	0.000000
50.000000	5.000000	316.227766	316.227766	90.000000	10.000000	0.000000
50.000000	5.000000	316.227766	100.000000	86.000000	14.000000	0.000000
50.000000	5.000000	316.227766	31.622777	3.000000	97.000000	0.000000
50.000000	5.000000	316.227766	10.000000	0.000000	100.000000	0.000000
50.000000	5.000000	316.227766	3.162278	0.000000	100.000000	0.000000
50.000000	5.000000	100.000000	316.227766	0.000000	100.000000	0.000000
50.000000	5.000000	100.000000	100.000000	56.000000	44.000000	0.000000
50.000000	5.000000	100.000000	31.622777	1.000000	99.000000	0.000000
50.000000	5.000000	100.000000	10.000000	0.000000	100.000000	0.000000
50.000000	5.000000	100.000000	3.162278	0.000000	100.000000	0.000000
50.000000	5.000000	31.622777	316.227766	0.000000	100.000000	0.000000
50.000000	5.000000	31.622777	100.000000	7.000000	93.000000	0.000000
50.000000	5.000000	31.622777	31.622777	0.000000	100.000000	0.000000
50.000000	5.000000	31.622777	10.000000	0.000000	100.000000	0.000000
50.000000	5.000000	31.622777	3.162278	0.000000	100.000000	0.000000
50.000000	5.000000	10.000000	316.227766	2.000000	98.000000	0.000000
50.000000	5.000000	10.000000	100.000000	0.000000	100.000000	0.000000
50.000000	5.000000	10.000000	31.622777	0.000000	100.000000	0.000000
50.000000	5.000000	10.000000	10.000000	0.000000	100.000000	0.000000
50.000000	5.000000	10.000000	3.162278	0.000000	100.000000	0.000000
