shape_ris	shape_bet	long_var	short_var	dom_1	dom_2	coexist
50.000000	5.000000	1000.000000	316.227766	100.000000	0.000000	0.000000
50.000000	5.000000	1000.000000	100.000000	100.000000	0.000000	0.000000
50.000000	5.000000	1000.000000	31.622777	100.000000	0.000000	0.000000
50.000000	5.000000	1000.000000	10.000000	28.000000	0.000000	72.000000
50.000000	5.000000	1000.000000	3.162278	0.000000	0.000000	100.000000
50.000000	5.000000	316.227766	316.227766	100.000000	0.000000	0.000000
50.000000	5.000000	316.227766	100.000000	100.000000	0.000000	0.000000
50.000000	5.000000	316.227766	31.622777	100.000000	0.000000	0.000000
50.000000	5.000000	316.227766	10.000000	67.000000	0.000000	33.000000
50.000000	5.000000	316.227766	3.162278	0.000000	0.000000	100.000000
50.000000	5.000000	100.000000	316.227766	100.000000	0.000000	0.000000
50.000000	5.000000	100.000000	100.000000	99.000000	1.000000	0.000000
50.000000	5.000000	100.000000	31.622777	100.000000	0.000000	0.000000
50.000000	5.000000	100.000000	10.000000	79.000000	0.000000	21.000000
50.000000	5.000000	100.000000	3.162278	0.000000	0.000000	100.000000
50.000000	5.000000	31.622777	316.227766	93.000000	7.000000	0.000000
50.000000	5.000000	31.622777	100.000000	90.000000	10.000000	0.000000
50.000000	5.000000	31.622777	31.622777	95.000000	5.000000	0.000000
50.000000	5.000000	31.622777	10.000000	57.000000	28.000000	15.000000
50.000000	5.000000	31.622777	3.162278	0.000000	0.000000	100.000000
50.000000	5.000000	10.000000	316.227766	65.000000	35.000000	0.000000
50.000000	5.000000	10.000000	100.000000	60.000000	40.000000	0.000000
50.000000	5.000000	10.000000	31.622777	47.000000	53.000000	0.000000
50.000000	5.000000	10.000000	10.000000	3.000000	97.000000	0.000000
50.000000	5.000000	10.000000	3.162278	0.000000	29.000000	71.000000
