shape_ris	shape_bet	long_var	short_var	dom_1	dom_2	coexist
50.000000	1.250000	1000.000000	316.227766	7.000000	0.000000	93.000000
50.000000	1.250000	1000.000000	100.000000	37.000000	0.000000	63.000000
50.000000	1.250000	1000.000000	31.622777	99.000000	0.000000	1.000000
50.000000	1.250000	1000.000000	10.000000	100.000000	0.000000	0.000000
50.000000	1.250000	1000.000000	3.162278	100.000000	0.000000	0.000000
50.000000	1.250000	316.227766	316.227766	78.000000	22.000000	0.000000
50.000000	1.250000	316.227766	100.000000	97.000000	3.000000	0.000000
50.000000	1.250000	316.227766	31.622777	99.000000	1.000000	0.000000
50.000000	1.250000	316.227766	10.000000	100.000000	0.000000	0.000000
50.000000	1.250000	316.227766	3.162278	100.000000	0.000000	0.000000
50.000000	1.250000	100.000000	316.227766	78.000000	22.000000	0.000000
50.000000	1.250000	100.000000	100.000000	87.000000	13.000000	0.000000
50.000000	1.250000	100.000000	31.622777	95.000000	5.000000	0.000000
50.000000	1.250000	100.000000	10.000000	100.000000	0.000000	0.000000
50.000000	1.250000	100.000000	3.162278	100.000000	0.000000	0.000000
50.000000	1.250000	31.622777	316.227766	83.000000	17.000000	0.000000
50.000000	1.250000	31.622777	100.000000	88.000000	12.000000	0.000000
50.000000	1.250000	31.622777	31.622777	88.000000	12.000000	0.000000
50.000000	1.250000	31.622777	10.000000	96.000000	4.000000	0.000000
50.000000	1.250000	31.622777	3.162278	100.000000	0.000000	0.000000
50.000000	1.250000	10.000000	316.227766	83.000000	17.000000	0.000000
50.000000	1.250000	10.000000	100.000000	86.000000	14.000000	0.000000
50.000000	1.250000	10.000000	31.622777	81.000000	19.000000	0.000000
50.000000	1.250000	10.000000	10.000000	82.000000	18.000000	0.000000
50.000000	1.250000	10.000000	3.162278	89.000000	11.000000	0.000000
