shape_spcl	shape_genl	long_var	short_var	dom_1	dom_2	coexist
50.000000	5.000000	1000.000000	316.227766	0.000000	87.000000	0.000000
50.000000	5.000000	1000.000000	100.000000	0.000000	99.000000	0.000000
50.000000	5.000000	1000.000000	31.622777	0.000000	98.000000	0.000000
50.000000	5.000000	1000.000000	10.000000	0.000000	100.000000	0.000000
50.000000	5.000000	1000.000000	3.162278	0.000000	100.000000	0.000000
50.000000	5.000000	316.227766	316.227766	0.000000	70.000000	0.000000
50.000000	5.000000	316.227766	100.000000	0.000000	77.000000	0.000000
50.000000	5.000000	316.227766	31.622777	0.000000	96.000000	0.000000
50.000000	5.000000	316.227766	10.000000	0.000000	100.000000	0.000000
50.000000	5.000000	316.227766	3.162278	0.000000	100.000000	0.000000
50.000000	5.000000	100.000000	316.227766	3.000000	55.000000	0.000000
50.000000	5.000000	100.000000	100.000000	1.000000	60.000000	0.000000
50.000000	5.000000	100.000000	31.622777	0.000000	91.000000	0.000000
50.000000	5.000000	100.000000	10.000000	0.000000	100.000000	0.000000
50.000000	5.000000	100.000000	3.162278	0.000000	100.000000	0.000000
50.000000	5.000000	31.622777	316.227766	2.000000	66.000000	0.000000
50.000000	5.000000	31.622777	100.000000	0.000000	68.000000	0.000000
50.000000	5.000000	31.622777	31.622777	0.000000	84.000000	0.000000
50.000000	5.000000	31.622777	10.000000	0.000000	96.000000	0.000000
50.000000	5.000000	31.622777	3.162278	0.000000	99.000000	0.000000
50.000000	5.000000	10.000000	316.227766	3.000000	61.000000	0.000000
50.000000	5.000000	10.000000	100.000000	0.000000	72.000000	0.000000
50.000000	5.000000	10.000000	31.622777	0.000000	78.000000	0.000000
50.000000	5.000000	10.000000	10.000000	0.000000	92.000000	0.000000
50.000000	5.000000	10.000000	3.162278	0.000000	97.000000	0.000000
