N1	N2	time	environment	abf_1	abf_2
250.000000	250.000000	0.000000	0.000000	0.000000	0.000000
251.407118	251.407118	0.250000	57.302531	0.022403	0.022403
252.815926	252.815926	0.500000	57.302531	0.022305	0.022305
254.226357	254.226357	0.750000	57.302531	0.022206	0.022206
255.638344	255.638344	1.000000	57.302531	0.022107	0.022107
540.232698	277.715606	1.250000	49.840039	2.689394	0.194107
953.555710	279.276811	1.500000	49.840039	1.864347	-0.139314
1363.207201	259.192182	1.750000	49.840039	1.057495	-0.428918
1644.351937	227.312734	2.000000	49.840039	0.514720	-0.592666
861.826058	178.124818	2.250000	74.005288	-1.963149	-0.693250
575.744841	155.950968	2.500000	74.005288	-1.363943	-0.415826
427.720646	143.463757	2.750000	74.005288	-1.054458	-0.270836
337.336104	135.732969	3.000000	74.005288	-0.865858	-0.182290
627.815842	153.600103	3.250000	47.606440	2.183156	0.360555
986.848127	161.561901	3.500000	47.606440	1.459226	0.057220
1303.552047	158.366280	3.750000	47.606440	0.824598	-0.191594
1511.292642	147.793708	4.000000	47.606440	0.413028	-0.338624
831.995135	132.375385	4.250000	66.291674	-1.848382	-0.215255
566.942916	129.559075	4.500000	66.291674	-1.307942	0.005896
425.566715	131.804701	4.750000	66.291674	-1.023869	0.115874
337.511876	136.856406	5.000000	66.291674	-0.850277	0.176899
660.990728	154.581065	5.250000	51.596353	2.351567	0.339104
1070.001742	160.950433	5.500000	51.596353	1.529050	-0.001045
1423.352315	154.929387	5.750000	51.596353	0.822385	-0.273949
1643.074137	141.517235	6.000000	51.596353	0.388325	-0.425188
906.492491	130.524531	6.250000	62.088900	-1.801234	-0.086119
627.460350	132.019793	6.500000	62.088900	-1.235676	0.137838
480.185684	138.747865	6.750000	62.088900	-0.943223	0.243646
388.761480	148.614626	7.000000	62.088900	-0.766678	0.297775
760.033919	164.618359	7.250000	50.767508	2.298561	0.244360
1202.293020	166.872769	7.500000	50.767508	1.411509	-0.114746
1552.692428	156.275588	7.750000	50.767508	0.713190	-0.376603
1753.230138	139.530478	8.000000	50.767508	0.320054	-0.505822
1138.884918	128.897695	8.250000	57.737201	-1.236787	-0.115144
897.765662	128.895030	8.500000	57.737201	-0.747087	0.080951
771.866281	133.308520	8.750000	57.737201	-0.495897	0.174119
696.096990	140.194319	9.000000	57.737201	-0.348437	0.221600
496.268504	137.825766	9.250000	67.227917	-1.179945	0.002458
381.613167	139.663412	9.500000	67.227917	-0.949823	0.091523
307.127344	143.938077	9.750000	67.227917	-0.803081	0.143104
254.757777	149.823077	10.000000	67.227917	-0.702351	0.173554
215.773666	140.868142	10.250000	77.136792	-0.625307	-0.223982
186.179983	133.880060	10.500000	77.136792	-0.560196	-0.186142
