Nr	Nb	time	environment	abf_r	abf_b
250.000000	250.000000	0.000000	0.000000	0.000000	0.000000
271.512600	268.212206	0.250000	41.789484	0.302964	0.255964
290.878967	284.138534	0.500000	41.789484	0.251361	0.208488
307.894221	297.713297	0.750000	41.789484	0.206338	0.167594
322.533731	309.024363	1.000000	41.789484	0.167882	0.133136
570.155379	319.030379	1.250000	52.969845	2.025572	0.020180
875.285641	311.141547	1.500000	52.969845	1.422231	-0.208502
1159.405712	287.991053	1.750000	52.969845	0.869979	-0.390909
1364.788797	257.240826	2.000000	52.969845	0.480250	-0.495263
781.922309	204.560301	2.250000	25.035580	-1.745693	-0.686749
543.624500	178.508484	2.500000	25.035580	-1.241104	-0.440629
414.283502	162.972602	2.750000	25.035580	-0.967137	-0.304699
333.144705	152.826929	3.000000	25.035580	-0.795321	-0.218792
689.835771	169.043083	3.250000	49.510496	2.538640	0.242534
1154.250295	171.016532	3.500000	49.510496	1.609028	-0.133162
1548.663841	158.757229	3.750000	49.510496	0.824076	-0.426923
1781.611102	139.541354	4.000000	49.510496	0.367348	-0.577438
924.376458	119.715856	4.250000	67.830986	-1.961637	-0.335007
620.074250	114.353496	4.500000	67.830986	-1.338785	-0.076596
464.019757	114.231437	4.750000	67.830986	-1.022965	0.050057
368.937132	116.842826	5.000000	67.830986	-0.833182	0.121655
530.149181	131.504038	5.250000	55.063717	1.286758	0.396051
698.890968	142.222204	5.500000	55.063717	0.940380	0.239342
848.584153	148.310650	5.750000	55.063717	0.634873	0.106758
963.342209	150.305644	6.000000	55.063717	0.402200	0.010217
1414.215850	145.503619	6.250000	50.293569	1.118875	-0.291115
1717.276817	131.118943	6.500000	50.293569	0.517293	-0.507783
1870.804569	113.911979	6.750000	50.293569	0.219263	-0.598100
1939.434263	97.709472	7.000000	50.293569	0.092714	-0.621436
1548.274533	86.980713	7.250000	45.231106	-0.585351	-0.331434
1399.427356	81.632010	7.500000	45.231106	-0.278191	-0.199480
1332.093278	78.352310	7.750000	45.231106	-0.138847	-0.138186
1299.372457	76.030818	8.000000	45.231106	-0.070611	-0.106970
778.132185	67.531962	8.250000	72.230806	-1.626937	-0.298769
553.428224	64.399611	8.500000	72.230806	-1.168779	-0.110135
428.196987	63.566023	8.750000	72.230806	-0.915073	-0.007196
348.300990	64.015317	9.000000	72.230806	-0.754333	0.056379
663.524808	74.007955	9.250000	47.610189	2.253430	0.442711
1053.246793	79.277435	9.500000	47.610189	1.470206	0.120374
1387.294743	78.738029	9.750000	47.610189	0.798084	-0.147746
1595.640081	74.161073	10.000000	47.610189	0.380048	-0.307364
877.665649	62.592100	10.250000	74.066031	-1.825519	-0.444346
603.318458	57.936248	10.500000	74.066031	-1.264645	-0.212045
458.468036	55.895866	10.750000	74.066031	-0.970100	-0.090739
368.904068	55.205641	11.000000	74.066031	-0.788866	-0.017052
307.985913	57.118373	11.250000	70.951460	-0.667360	0.156442
263.768334	59.647288	11.500000	70.951460	-0.580415	0.186991
230.165999	62.682677	11.750000	70.951460	-0.515286	0.207958
203.726685	66.158407	12.000000	70.951460	-0.464942	0.222271
189.224484	76.166950	12.250000	62.658370	-0.285687	0.559154
176.571868	87.460491	12.500000	62.658370	-0.269331	0.546767
165.353388	100.068303	12.750000	62.658370	-0.256908	0.530599
155.260779	113.979022	13.000000	62.658370	-0.247791	0.510919
266.184299	134.875509	13.250000	54.605880	2.034922	0.607997
424.865378	153.795838	13.500000	54.605880	1.704181	0.443798
618.288567	167.825747	13.750000	54.605880	1.306848	0.261090
813.430057	175.102216	14.000000	54.605880	0.909958	0.089874
685.826956	177.410222	14.250000	41.455534	-0.571437	0.094423
607.422712	183.007982	14.500000	41.455534	-0.417687	0.146603
554.810295	190.588350	14.750000	41.455534	-0.317729	0.173904
517.288764	199.429990	15.000000	41.455534	-0.249271	0.186467
425.342783	206.238888	15.250000	61.242902	-0.703143	0.160264
362.666076	215.654095	15.500000	61.242902	-0.584418	0.192006
316.953320	226.752120	15.750000	61.242902	-0.501319	0.206647
281.936841	238.935858	16.000000	61.242902	-0.440673	0.210465
248.035890	250.214860	16.250000	37.944874	-0.485491	0.186084
221.022853	262.090490	16.500000	37.944874	-0.440728	0.184052
198.894185	274.220760	16.750000	37.944874	-0.406007	0.177565
180.363310	286.332881	17.000000	37.944874	-0.378512	0.168210
160.225494	294.738201	17.250000	36.558011	-0.458034	0.115139
143.408694	303.223005	17.500000	36.558011	-0.431073	0.111669
129.136681	311.601533	17.750000	36.558011	-0.409145	0.106358
116.863675	319.736000	18.000000	36.558011	-0.391040	0.099924
152.914818	342.346538	18.250000	43.171035	1.031490	0.238042
195.401598	360.030633	18.500000	43.171035	0.932530	0.168575
243.363293	372.399432	18.750000	43.171035	0.826815	0.105329
295.040435	379.512211	19.000000	43.171035	0.717794	0.049600
246.918853	368.837338	19.250000	36.980151	-0.664584	-0.087199
211.309775	362.913292	19.500000	36.980151	-0.588167	-0.046552
183.842318	360.092016	19.750000	36.980151	-0.530667	-0.018727
161.972519	359.355492	20.000000	36.980151	-0.486123	0.000386
185.453272	372.716360	20.250000	42.126180	0.513948	0.124680
209.348616	382.525696	20.500000	42.126180	0.458262	0.085812
233.136052	389.128989	20.750000	42.126180	0.405342	0.053450
256.324397	392.968524	21.000000	42.126180	0.355821	0.027105
231.878343	388.612285	21.250000	60.730248	-0.376784	-0.031770
212.207809	386.594427	21.500000	60.730248	-0.335637	-0.011856
195.993047	386.187357	21.750000	60.730248	-0.302741	0.002031
182.360874	386.893674	22.000000	60.730248	-0.275937	0.011597
155.687551	345.084999	22.250000	73.633397	-0.592904	-0.409654
135.430496	314.784615	22.500000	73.633397	-0.527794	-0.332397
119.498861	291.992536	22.750000	73.633397	-0.477454	-0.273764
106.625914	274.365483	23.000000	73.633397	-0.437433	-0.227996
100.189697	290.404753	23.250000	37.670358	-0.249026	0.214454
94.143442	305.386303	23.500000	37.670358	-0.248922	0.189289
88.466344	319.209366	23.750000	37.670358	-0.248631	0.166143
83.140386	331.824520	24.000000	37.670358	-0.248077	0.145130
115.339188	356.296682	24.250000	43.555070	1.268113	0.248963
156.419306	375.635090	24.500000	43.555070	1.170761	0.177348
206.658043	389.199734	24.750000	43.555070	1.059694	0.109933
265.132690	396.780439	25.000000	43.555070	0.936878	0.047871
481.048735	398.706215	25.250000	52.908909	2.162912	-0.068035
769.258903	382.071088	25.500000	52.908909	1.601403	-0.265316
1064.853637	349.274518	25.750000	52.908909	1.034959	-0.437225
1298.484094	308.337532	26.000000	52.908909	0.597148	-0.543699
1048.837425	275.045603	26.250000	43.354890	-0.633622	-0.344889
928.833212	257.178311	26.500000	43.354890	-0.376018	-0.211492
862.680486	246.527407	26.750000	43.354890	-0.233638	-0.136473
823.454984	239.773503	27.000000	43.354890	-0.148951	-0.091153
565.184444	226.184041	27.250000	64.934874	-1.281012	-0.134442
427.006452	222.465966	27.500000	64.934874	-0.998597	-0.015003
340.767784	223.745851	27.750000	64.934874	-0.825633	0.052158
281.664674	227.942420	28.000000	64.934874	-0.709933	0.091464
330.238920	246.572686	28.250000	57.227241	0.582906	0.278212
376.770142	261.950348	28.500000	57.227241	0.477362	0.210046
419.222745	273.934259	28.750000	57.227241	0.382622	0.151904
456.311600	282.724538	29.000000	57.227241	0.301135	0.104441
353.414104	263.755571	29.250000	30.684245	-0.923849	-0.224372
286.197828	252.068720	29.500000	30.684245	-0.778942	-0.146589
238.841170	244.771651	29.750000	30.684245	-0.677724	-0.093726
203.664824	240.326903	30.000000	30.684245	-0.603388	-0.056446
347.305567	263.772511	30.250000	54.171109	1.980295	0.292573
541.894274	277.204346	30.500000	54.171109	1.581869	0.110246
760.210625	278.330090	30.750000	54.171109	1.144265	-0.067100
959.923162	268.459149	31.000000	54.171109	0.751111	-0.208090
799.784831	255.436932	31.250000	42.231244	-0.587032	-0.132521
709.093452	250.081864	31.500000	42.231244	-0.399421	-0.048298
652.150052	248.781221	31.750000	42.231244	-0.283465	0.000372
613.962809	249.815237	32.000000	42.231244	-0.207315	0.029155
634.043719	252.327913	32.250000	56.898859	0.109444	0.030451
648.876691	253.738254	32.500000	56.898859	0.078451	0.015653
659.708856	254.379871	32.750000	56.898859	0.056125	0.005623
667.571167	254.504217	33.000000	56.898859	0.040193	-0.000972
479.764014	237.440672	33.250000	67.553754	-1.152744	-0.197927
371.197430	229.317876	33.500000	67.553754	-0.926921	-0.093738
300.395971	226.010195	33.750000	67.553754	-0.781519	-0.029897
250.516812	225.609523	34.000000	67.553754	-0.680761	0.011157
538.382819	245.985478	34.250000	50.740776	2.752962	0.208289
962.998016	247.984249	34.500000	50.740776	1.905288	-0.134851
1385.659218	229.968232	34.750000	50.740776	1.070631	-0.439012
1673.110324	200.871701	35.000000	50.740776	0.512722	-0.613478
886.847905	171.375939	35.250000	33.087287	-1.921546	-0.368908
598.224522	162.185546	35.500000	33.087287	-1.327669	-0.115547
448.199259	160.407217	35.750000	33.087287	-1.022756	0.009576
356.097889	162.397882	36.000000	33.087287	-0.838502	0.080029
346.812765	177.589272	36.250000	59.249069	-0.102745	0.346573
338.238667	193.060947	36.500000	59.249069	-0.097946	0.322506
330.219166	208.603089	36.750000	59.249069	-0.094321	0.297844
322.646657	224.006179	37.000000	59.249069	-0.091486	0.273093
266.479883	215.242350	37.250000	71.056707	-0.710866	-0.131371
225.739200	209.554062	37.500000	71.056707	-0.624309	-0.087107
194.828943	205.940964	37.750000	71.056707	-0.559251	-0.054956
170.566286	203.790970	38.000000	71.056707	-0.508764	-0.031107
343.129168	229.636594	38.250000	52.822767	2.606553	0.381892
614.972922	244.895892	38.500000	52.822767	2.054098	0.134814
943.882032	244.669488	38.750000	52.822767	1.396751	-0.128285
1237.225322	230.237358	39.000000	52.822767	0.818395	-0.335766
1305.923039	210.237316	39.250000	54.038863	0.162985	-0.368756
1347.060863	191.763844	39.500000	54.038863	0.094671	-0.364983
1372.023110	175.312610	39.750000	54.038863	0.057456	-0.352161
1387.850251	160.870947	40.000000	54.038863	0.037115	-0.335971
1240.052862	150.014267	40.250000	44.604041	-0.321944	-0.220117
1169.016427	143.430436	40.500000	44.604041	-0.172594	-0.149219
1132.217109	138.941154	40.750000	44.604041	-0.094437	-0.110364
1112.518599	135.591676	41.000000	44.604041	-0.051857	-0.087676
699.559270	121.535352	41.250000	29.035434	-1.510735	-0.290052
507.313925	115.780819	41.500000	29.035434	-1.116653	-0.122575
396.087726	113.779947	41.750000	29.035434	-0.890417	-0.028628
323.509434	113.889533	42.000000	29.035434	-0.744203	0.029729
663.192124	128.880441	42.250000	48.731922	2.516301	0.341410
1108.913678	133.844999	42.500000	48.731922	1.621984	-0.025055
1495.656019	127.597659	42.750000	48.731922	0.848095	-0.324434
1729.679172	114.864122	43.000000	48.731922	0.384196	-0.488724
999.364060	106.372518	43.250000	39.686165	-1.621967	-0.073534
722.907698	107.891242	43.500000	39.686165	-1.061649	0.148240
577.578390	113.685276	43.750000	39.686165	-0.772364	0.254328
487.866159	122.116653	44.000000	39.686165	-0.598107	0.309940
392.976080	129.620318	44.250000	63.267125	-0.783134	0.265002
328.588167	139.154288	44.500000	63.267125	-0.661052	0.297877
281.806169	150.257979	44.750000	63.267125	-0.575799	0.313372
246.092985	162.620118	45.000000	63.267125	-0.513886	0.317406
250.261301	181.202337	45.250000	59.365704	0.056233	0.413390
253.108785	199.892587	45.500000	59.365704	0.035534	0.373709
254.752807	218.370667	45.750000	59.365704	0.017412	0.335405
255.333061	236.338374	46.000000	59.365704	0.001828	0.298964
237.677129	251.397739	46.250000	39.282400	-0.275852	0.239256
222.397576	266.291947	46.500000	39.282400	-0.257129	0.221714
208.978825	280.802949	46.750000	39.282400	-0.241842	0.203434
197.053246	294.748210	47.000000	39.282400	-0.229103	0.185080
249.219501	314.281130	47.250000	43.215055	0.881321	0.218271
305.676834	328.668853	47.500000	43.215055	0.756929	0.144165
363.463988	337.803063	47.750000	43.215055	0.633956	0.079458
419.444783	342.104543	48.000000	43.215055	0.518352	0.025839
789.674902	338.998479	48.250000	50.883890	2.159470	-0.179428
1214.839543	311.866376	48.500000	50.883890	1.329619	-0.466497
1549.305089	270.174641	48.750000	50.883890	0.688484	-0.653166
1746.220821	226.867514	49.000000	50.883890	0.324391	-0.725946
903.608469	186.601018	49.250000	31.269211	-1.976256	-0.491217
603.780557	171.791078	49.500000	31.269211	-1.354857	-0.217323
450.011340	165.898863	49.750000	31.269211	-1.039004	-0.080883
356.383839	164.384845	50.000000	31.269211	-0.848835	-0.002163
314.066736	177.242763	50.250000	38.647585	-0.471716	0.304267
281.220803	191.244612	50.500000	38.647585	-0.416901	0.302703
254.806495	206.077501	50.750000	38.647585	-0.375713	0.294282
