rep	outcome	time
1	-1	8193.242220
2	1	1815.499124
3	-1	715.621087
4	-1	1125.215946
5	1	1446.841575
6	1	371.058511
7	1	5926.101980
8	1	7770.065109
9	1	3344.744167
10	1	5028.817840
11	1	2537.583037
12	1	401.910630
13	1	1125.245174
14	1	1097.704767
15	1	469.631494
16	1	1768.864664
17	1	920.620218
18	1	3249.470278
19	-1	732.745398
20	1	2580.754571
21	1	549.445447
22	1	2852.077064
23	1	774.152635
24	1	785.431357
25	-1	1052.007267
26	1	10798.064525
27	1	3702.142404
28	1	4612.323699
29	1	4778.144948
30	1	1235.165927
31	1	462.384354
32	1	2786.884718
33	-1	2253.731628
34	1	1760.834097
35	1	4245.951807
36	1	566.178595
37	1	4629.971026
38	1	3194.895660
39	1	3158.940517
40	1	664.567439
41	1	3581.086487
42	1	1113.383229
43	-1	4032.563889
44	1	3635.973609
45	1	1230.057642
46	1	1275.597329
47	1	1924.522071
48	1	1360.973874
49	1	471.718796
50	1	1590.852211
51	1	1113.775240
52	-1	13346.594519
53	1	1648.043472
54	1	2175.404120
55	1	590.942226
56	1	2322.068366
57	1	426.584297
58	1	5265.487170
59	1	1666.495137
60	1	631.089885
61	1	556.876197
62	1	4667.531628
63	1	685.348956
64	1	1327.908187
65	-1	3121.842789
66	1	2101.400145
67	-1	933.108351
68	1	426.533598
69	1	513.302304
70	1	675.749782
71	1	2403.345284
72	1	555.834987
73	1	3788.912568
74	1	1217.427590
75	1	3432.303526
76	1	942.940760
77	1	7158.127361
78	1	861.576872
79	1	448.512871
80	1	346.357666
81	-1	956.916587
82	1	2879.758351
83	1	1548.960365
84	1	4153.629395
85	1	2811.718832
86	-1	3117.948497
87	1	1553.047171
88	1	579.664420
89	1	480.286576
90	1	655.268280
91	-1	1107.147950
92	1	476.283317
93	1	444.139300
94	-1	1079.579589
95	-1	908.020969
96	1	3815.681010
97	1	4771.910328
98	-1	1362.092430
99	1	1212.516646
100	1	3723.636848
101	1	540.181029
102	1	870.035968
103	1	505.647674
104	1	13631.281370
105	1	1474.818734
106	-1	1373.070509
107	1	2068.924414
108	1	541.121153
109	1	533.876073
110	1	1273.439023
111	1	1662.341311
112	1	1151.278063
113	1	3019.104782
114	1	2864.149004
115	1	3538.373624
116	1	1069.190586
117	1	2691.122492
118	1	1166.469822
119	1	2399.620661
120	1	625.939234
121	1	583.113283
122	1	5259.411348
123	-1	768.171277
124	1	3108.800770
125	1	1958.874246
126	1	1620.546441
127	1	409.464289
128	-1	4373.122789
129	1	503.244598
130	1	504.632289
131	1	715.502787
132	1	2682.764436
133	1	607.495169
134	1	4291.912176
135	1	5820.903927
136	1	1404.953976
137	1	586.736389
138	1	3962.174110
139	1	2983.440707
140	1	2375.348613
141	1	544.840550
142	1	1169.924602
143	1	1941.020370
