N1	N2	time	environment	abf_1	abf_2
250.000000	250.000000	0.000000	0.000000	0.000000	0.000000
251.407118	251.407118	0.250000	52.915244	0.022403	0.022403
252.815926	252.815926	0.500000	52.915244	0.022305	0.022305
254.226357	254.226357	0.750000	52.915244	0.022206	0.022206
255.638344	255.638344	1.000000	52.915244	0.022107	0.022107
380.860440	278.294530	1.250000	45.080522	1.461976	0.269273
527.816596	292.054628	1.500000	45.080522	1.157439	0.124016
677.394361	296.114781	1.750000	45.080522	0.854568	-0.004267
809.689556	291.848025	2.000000	45.080522	0.592290	-0.102250
900.622797	282.114015	2.250000	55.062107	0.346449	-0.159118
965.741414	269.994586	2.500000	55.062107	0.224942	-0.187408
1010.340482	257.212748	2.750000	55.062107	0.145268	-0.197806
1040.340363	244.782564	3.000000	55.062107	0.094743	-0.197111
1434.208392	227.275618	3.250000	50.386314	0.930200	-0.422407
1687.358898	200.004166	3.500000	50.386314	0.439779	-0.572914
1817.886056	171.939366	3.750000	50.386314	0.197412	-0.622648
1880.119751	147.052759	4.000000	50.386314	0.091056	-0.623250
1403.891413	131.731488	4.250000	55.533009	-0.784525	-0.276188
1219.782316	125.892539	4.500000	55.533009	-0.405513	-0.114590
1131.294810	123.690637	4.750000	55.533009	-0.224342	-0.038342
1084.266642	123.199269	5.000000	55.533009	-0.128737	0.000766
1291.151346	121.721659	5.250000	53.326032	0.513503	-0.120460
1416.749788	116.563089	5.500000	53.326032	0.263519	-0.211871
1484.670206	109.867569	5.750000	53.326032	0.131252	-0.253556
1519.712909	102.885948	6.000000	53.326032	0.065811	-0.268000
1680.352323	95.037210	6.250000	51.908695	0.267110	-0.364735
1757.431183	86.163457	6.500000	51.908695	0.117650	-0.409616
1792.673487	77.626547	6.750000	51.908695	0.052896	-0.421154
1809.213272	69.876634	7.000000	51.908695	0.025548	-0.419044
1502.363752	64.737572	7.250000	54.653192	-0.493101	-0.201870
1378.469511	62.509140	7.500000	54.653192	-0.239420	-0.096595
1320.762918	61.452302	7.750000	54.653192	-0.121464	-0.047611
1292.104459	60.937995	8.000000	54.653192	-0.062943	-0.023327
1261.006560	60.761719	8.250000	54.796266	-0.070604	-0.000756
1244.779504	60.863652	8.500000	54.796266	-0.037811	0.012197
1236.128095	61.107064	8.750000	54.796266	-0.020486	0.018722
1231.438845	61.422074	9.000000	54.796266	-0.011244	0.021891
1580.566257	60.137469	9.250000	51.091463	0.687228	-0.207452
1773.963229	55.872908	9.500000	51.091463	0.298299	-0.355921
1862.379723	50.645728	9.750000	51.091463	0.122664	-0.417403
1899.870677	45.483506	10.000000	51.091463	0.050505	-0.437584
1574.543529	42.018185	10.250000	54.382834	-0.488454	-0.209458
1447.767861	40.503246	10.500000	54.382834	-0.229331	-0.103225
1390.535103	39.748000	10.750000	54.382834	-0.112509	-0.055211
1363.002784	39.334726	11.000000	54.382834	-0.056319	-0.032033
1672.500639	38.080459	11.250000	49.087447	0.547301	-0.236809
1830.464607	35.249515	11.500000	49.087447	0.228704	-0.359522
1899.133341	31.981008	11.750000	49.087447	0.091556	-0.408893
1927.286293	28.799343	12.000000	49.087447	0.036778	-0.425452
1719.209897	26.409622	12.250000	53.349603	-0.287927	-0.277115
1639.208355	24.891686	12.500000	53.349603	-0.123804	-0.208898
1605.558224	23.728013	12.750000	53.349603	-0.054422	-0.179183
1590.959435	22.734215	13.000000	53.349603	-0.023939	-0.165315
941.788545	22.464157	13.250000	60.677176	-1.583743	0.157462
683.766820	24.077877	13.500000	60.677176	-1.061317	0.363765
545.374963	26.772039	13.750000	60.677176	-0.783693	0.470321
459.124302	30.377254	14.000000	60.677176	-0.612601	0.532731
854.732507	35.181968	14.250000	48.510692	2.086824	0.424106
1284.405302	37.344683	14.500000	48.510692	1.223599	0.075081
1596.426860	36.731420	14.750000	48.510692	0.593832	-0.175872
1763.413831	34.485020	15.000000	48.510692	0.256733	-0.306973
1651.256002	32.210282	15.250000	53.384809	-0.169695	-0.233973
1605.056820	30.562899	15.500000	53.384809	-0.074376	-0.193064
1585.134867	29.202885	15.750000	53.384809	-0.032772	-0.174131
1576.481913	27.996809	16.000000	53.384809	-0.014206	-0.164674
1610.393960	26.801877	16.250000	53.058772	0.056875	-0.184799
1626.086632	25.552528	16.500000	53.058772	0.026000	-0.195051
1633.377694	24.323262	16.750000	53.058772	0.012180	-0.198512
1636.879979	23.143266	17.000000	53.058772	0.006020	-0.198992
1325.885254	22.581015	17.250000	44.364438	-0.587726	0.003947
1191.063899	22.963731	17.500000	44.364438	-0.314352	0.112674
1122.919633	23.802344	17.750000	44.364438	-0.176981	0.166225
1085.735371	24.911634	18.000000	44.364438	-0.102628	0.194110
726.108295	25.964392	18.250000	61.739259	-1.309830	0.284258
550.387101	28.430113	18.500000	61.739259	-0.956095	0.421648
446.125622	31.936024	18.750000	61.739259	-0.748438	0.498854
376.990497	36.415692	19.000000	61.739259	-0.612707	0.545653
468.266695	43.147776	19.250000	56.362589	0.777028	0.636962
555.332434	50.042696	19.500000	56.362589	0.597060	0.553394
631.272952	56.899447	19.750000	56.362589	0.439150	0.478707
692.426694	63.596768	20.000000	56.362589	0.310865	0.416135
738.476619	70.094040	20.250000	40.122224	0.212987	0.366061
771.303756	76.406391	20.500000	40.122224	0.141803	0.326977
793.656932	82.574922	20.750000	40.122224	0.091796	0.296607
808.246161	88.644651	21.000000	40.122224	0.057498	0.272688
874.093715	94.464538	21.250000	44.329385	0.251370	0.225033
918.757349	99.304290	21.500000	44.329385	0.157410	0.179290
947.508714	103.407252	21.750000	44.329385	0.096082	0.147844
965.296404	106.982932	22.000000	44.329385	0.057283	0.126303
1158.653440	109.011411	22.250000	53.852542	0.554134	0.003555
1284.329539	107.589770	22.500000	53.852542	0.301345	-0.095261
1356.704938	104.269617	22.750000	53.852542	0.157509	-0.147260
1395.864126	100.150958	23.000000	53.852542	0.081487	-0.170764
878.819080	97.822444	23.250000	39.752286	-1.432360	0.073867
655.435330	102.183154	23.500000	39.752286	-0.982869	0.246487
530.698679	110.016776	23.750000	39.752286	-0.737090	0.331733
450.853882	120.288878	24.000000	39.752286	-0.584307	0.375662
767.172769	133.708345	24.250000	47.290195	1.807205	0.285530
1102.272338	138.366354	24.500000	47.290195	1.131754	0.007213
1361.223687	134.754877	24.750000	47.290195	0.612530	-0.194637
1517.789153	126.319699	25.000000	47.290195	0.302382	-0.304628
1569.339483	116.536707	25.250000	47.004227	0.093043	-0.330788
1595.602287	107.222454	25.500000	47.004227	0.047280	-0.333421
1609.549967	98.710984	25.750000	47.004227	0.025872	-0.327656
1617.612319	91.049154	26.000000	47.004227	0.015729	-0.318814
1561.695600	84.614624	26.250000	46.476402	-0.091825	-0.268640
1538.004258	79.454030	26.500000	46.476402	-0.039479	-0.239000
1528.164813	75.023363	26.750000	46.476402	-0.015884	-0.222100
1524.488968	71.077984	27.000000	46.476402	-0.005208	-0.211187
1754.003086	66.183633	27.250000	50.866194	0.365500	-0.359286
