N1	N2	Generation	abf_1	abf_2
0.000000	0.000000	613.000000	1.158842	1.918507
0.000000	0.000000	614.000000	4.374955	2.212286
0.000000	0.000000	615.000000	1.981554	2.071308
0.000000	0.000000	616.000000	1.729513	2.042730
0.000000	0.000000	617.000000	4.269356	2.207148
0.000000	0.000000	618.000000	1.001708	1.604941
0.000000	0.000000	619.000000	1.256439	1.958006
0.000000	0.000000	620.000000	4.312012	2.210751
0.000000	0.000000	621.000000	4.273268	2.208402
0.000000	0.000000	622.000000	0.999992	1.048390
0.000000	0.000000	623.000000	0.999992	1.020005
0.000000	0.000000	624.000000	1.668996	2.049734
0.000000	0.000000	625.000000	2.267579	2.110796
0.000000	0.000000	626.000000	1.000125	1.439557
0.000000	0.000000	627.000000	0.999992	1.022448
0.000000	0.000000	628.000000	1.007150	1.661960
0.000000	0.000000	629.000000	4.710175	2.223044
0.000000	0.000000	630.000000	3.521522	2.179154
0.000000	0.000000	631.000000	0.999992	1.084586
0.000000	0.000000	632.000000	4.475489	2.216140
0.000000	0.000000	633.000000	1.055322	1.839158
0.000000	0.000000	634.000000	1.654137	2.036782
0.000000	0.000000	635.000000	2.122031	2.095666
0.000000	0.000000	636.000000	3.310921	2.172994
0.000000	0.000000	637.000000	1.002186	1.571037
0.000000	0.000000	638.000000	4.248996	2.208522
0.000000	0.000000	639.000000	0.999992	1.078989
0.000000	0.000000	640.000000	0.999993	1.250337
0.000000	0.000000	641.000000	1.269018	1.963026
0.000000	0.000000	642.000000	0.999992	1.057633
0.000000	0.000000	643.000000	1.021315	1.717544
0.000000	0.000000	644.000000	3.026032	2.157789
0.000000	0.000000	645.000000	3.016132	2.152760
0.000000	0.000000	646.000000	0.999992	1.047994
0.000000	0.000000	647.000000	1.016332	1.719676
0.000000	0.000000	648.000000	1.888599	2.072480
0.000000	0.000000	649.000000	0.999992	1.056719
0.000000	0.000000	650.000000	3.602739	2.184052
0.000000	0.000000	651.000000	3.875783	2.194784
0.000000	0.000000	652.000000	1.034926	1.781958
0.000000	0.000000	653.000000	1.019880	1.741138
0.000000	0.000000	654.000000	4.259384	2.209032
0.000000	0.000000	655.000000	1.000189	1.481150
0.000000	0.000000	656.000000	4.753994	2.224292
0.000000	0.000000	657.000000	2.416505	2.112802
0.000000	0.000000	658.000000	3.540663	2.179181
0.000000	0.000000	659.000000	1.000331	1.493568
0.000000	0.000000	660.000000	1.044326	1.816653
0.000000	0.000000	661.000000	3.590863	2.183491
0.000000	0.000000	662.000000	0.999997	1.338169
0.000000	0.000000	663.000000	1.258163	1.961632
0.000000	0.000000	664.000000	4.777134	2.224971
0.000000	0.000000	665.000000	3.589313	2.184480
0.000000	0.000000	666.000000	1.007346	1.690843
0.000000	0.000000	667.000000	4.581688	2.218992
0.000000	0.000000	668.000000	3.635213	2.185440
0.000000	0.000000	669.000000	4.109485	2.202064
0.000000	0.000000	670.000000	3.840481	2.194115
0.000000	0.000000	671.000000	0.999992	1.225863
0.000000	0.000000	672.000000	4.510156	2.217033
0.000000	0.000000	673.000000	1.666332	2.016798
0.000000	0.000000	674.000000	3.762774	2.188450
0.000000	0.000000	675.000000	2.606290	2.127909
0.000000	0.000000	676.000000	1.023540	1.756606
0.000000	0.000000	677.000000	1.000012	1.408394
0.000000	0.000000	678.000000	4.619977	2.220412
0.000000	0.000000	679.000000	0.999992	1.145306
0.000000	0.000000	680.000000	2.659677	2.136390
0.000000	0.000000	681.000000	2.864378	2.148426
0.000000	0.000000	682.000000	1.113662	1.876690
0.000000	0.000000	683.000000	1.008238	1.686195
0.000000	0.000000	684.000000	0.999992	1.259916
0.000000	0.000000	685.000000	1.098542	1.878856
0.000000	0.000000	686.000000	1.935344	2.077595
0.000000	0.000000	687.000000	1.245392	1.939953
0.000000	0.000000	688.000000	1.073516	1.836575
0.000000	0.000000	689.000000	1.039453	1.802248
0.000000	0.000000	690.000000	1.043022	1.813100
0.000000	0.000000	691.000000	0.999992	1.196297
0.000000	0.000000	692.000000	4.022697	2.200996
0.000000	0.000000	693.000000	3.575139	2.176932
0.000000	0.000000	694.000000	0.999992	1.077393
0.000000	0.000000	695.000000	1.000312	1.501075
0.000000	0.000000	696.000000	1.776242	2.063819
0.000000	0.000000	697.000000	1.902270	2.074844
0.000000	0.000000	698.000000	1.146188	1.917167
0.000000	0.000000	699.000000	1.022113	1.757963
0.000000	0.000000	700.000000	0.999993	1.298016
0.000000	0.000000	701.000000	0.999992	1.106719
0.000000	0.000000	702.000000	1.001602	1.601048
0.000000	0.000000	703.000000	0.999992	1.077906
0.000000	0.000000	704.000000	1.004167	1.628065
0.000000	0.000000	705.000000	3.787104	2.188172
0.000000	0.000000	706.000000	1.893940	2.075248
0.000000	0.000000	707.000000	3.153213	2.151690
0.000000	0.000000	708.000000	4.694340	2.222763
0.000000	0.000000	709.000000	1.689216	2.040043
0.000000	0.000000	710.000000	4.394875	2.212364
0.000000	0.000000	711.000000	4.235257	2.207055
0.000000	0.000000	712.000000	1.784899	2.047426
0.000000	0.000000	713.000000	2.300095	2.097931
0.000000	0.000000	714.000000	2.816192	2.141794
0.000000	0.000000	715.000000	3.730206	2.187260
0.000000	0.000000	716.000000	1.018497	1.729152
0.000000	0.000000	717.000000	1.001165	1.573909
0.000000	0.000000	718.000000	1.356753	1.979222
0.000000	0.000000	719.000000	1.408645	1.992500
0.000000	0.000000	720.000000	1.000005	1.370345
0.000000	0.000000	721.000000	3.955561	2.196887
0.000000	0.000000	722.000000	1.004225	1.645763
0.000000	0.000000	723.000000	4.684933	2.222358
0.000000	0.000000	724.000000	1.465280	1.999883
0.000000	0.000000	725.000000	1.226021	1.944637
0.000000	0.000000	726.000000	3.391760	2.171576
0.000000	0.000000	727.000000	1.089996	1.852089
0.000000	0.000000	728.000000	1.815890	2.057977
0.000000	0.000000	729.000000	1.012616	1.686615
0.000000	0.000000	730.000000	3.514908	2.173884
0.000000	0.000000	731.000000	1.022539	1.771160
0.000000	0.000000	732.000000	1.037848	1.753074
0.000000	0.000000	733.000000	1.034539	1.789714
0.000000	0.000000	734.000000	0.999993	1.290599
0.000000	0.000000	735.000000	0.999992	1.052446
0.000000	0.000000	736.000000	3.408393	2.170492
0.000000	0.000000	737.000000	4.475959	2.215805
0.000000	0.000000	738.000000	3.184601	2.165224
0.000000	0.000000	739.000000	4.278501	2.209233
0.000000	0.000000	740.000000	1.059234	1.841941
0.000000	0.000000	741.000000	3.137840	2.157843
0.000000	0.000000	742.000000	1.000000	1.356016
0.000000	0.000000	743.000000	1.238652	1.941653
0.000000	0.000000	744.000000	1.210886	1.911790
0.000000	0.000000	745.000000	1.189954	1.931393
0.000000	0.000000	746.000000	1.086817	1.868431
0.000000	0.000000	747.000000	1.078877	1.819619
0.000000	0.000000	748.000000	1.000862	1.573145
0.000000	0.000000	749.000000	2.084596	2.096123
0.000000	0.000000	750.000000	2.467143	2.124084
0.000000	0.000000	751.000000	1.094024	1.852781
0.000000	0.000000	752.000000	4.491594	2.216006
0.000000	0.000000	753.000000	3.976620	2.193887
0.000000	0.000000	754.000000	3.044489	2.150677
0.000000	0.000000	755.000000	2.054765	2.093722
0.000000	0.000000	756.000000	1.997820	2.086555
0.000000	0.000000	757.000000	0.999992	1.104400
0.000000	0.000000	758.000000	1.003781	1.632743
0.000000	0.000000	759.000000	0.999992	1.194418
0.000000	0.000000	760.000000	0.999994	1.339346
0.000000	0.000000	761.000000	1.563142	2.026226
0.000000	0.000000	762.000000	2.083310	2.089539
0.000000	0.000000	763.000000	1.001887	1.594658
0.000000	0.000000	764.000000	0.999992	1.188408
0.000000	0.000000	765.000000	1.942614	2.074268
0.000000	0.000000	766.000000	2.766305	2.139743
