N1	N2	time	environment	abf_1	abf_2
250.000000	250.000000	0.000000	0.000000	0.000000	0.000000
251.407118	251.407118	0.250000	81.508857	0.022403	0.022403
252.815926	252.815926	0.500000	81.508857	0.022305	0.022305
254.226357	254.226357	0.750000	81.508857	0.022206	0.022206
255.638344	255.638344	1.000000	81.508857	0.022107	0.022107
212.666744	222.759972	1.250000	80.604806	-0.685038	-0.505025
181.224518	198.332986	1.500000	80.604806	-0.602138	-0.430600
157.239698	179.472958	1.750000	80.604806	-0.538762	-0.373411
138.353491	164.476499	2.000000	80.604806	-0.488770	-0.328110
123.089168	153.597825	2.250000	79.460539	-0.449357	-0.257906
110.489955	144.552354	2.500000	79.460539	-0.416804	-0.229634
99.920236	136.921589	2.750000	79.460539	-0.389469	-0.205839
90.931290	130.405743	3.000000	79.460539	-0.366206	-0.185553
83.181783	126.643610	3.250000	77.715839	-0.347613	-0.110654
76.422123	123.384103	3.500000	77.715839	-0.331443	-0.098694
70.477566	120.544295	3.750000	77.715839	-0.317246	-0.088232
65.212146	118.058497	4.000000	77.715839	-0.304696	-0.079025
60.532298	113.613045	4.250000	80.084575	-0.291788	-0.147575
56.359808	109.661253	4.500000	80.084575	-0.280256	-0.136307
52.618014	106.128695	4.750000	80.084575	-0.269924	-0.126227
49.244952	102.955170	5.000000	80.084575	-0.260620	-0.117163
46.186347	100.875297	5.250000	79.102700	-0.252811	-0.078511
43.398183	98.993088	5.500000	79.102700	-0.245715	-0.072505
40.847396	97.285023	5.750000	79.102700	-0.239236	-0.067038
38.506090	95.731134	6.000000	79.102700	-0.233300	-0.062048
36.352007	93.921385	6.250000	79.618304	-0.227541	-0.073812
34.365842	92.263851	6.500000	79.618304	-0.222234	-0.068899
32.529566	90.742230	6.750000	79.618304	-0.217336	-0.064380
30.827635	89.342445	7.000000	79.618304	-0.212806	-0.060212
29.245310	88.484489	7.250000	79.016421	-0.208942	-0.037184
27.769971	87.697587	7.500000	79.016421	-0.205356	-0.034426
26.391846	86.975262	7.750000	79.016421	-0.202018	-0.031874
25.102313	86.311768	8.000000	79.016421	-0.198903	-0.029512
23.891260	86.735539	8.250000	77.640468	-0.196800	0.019644
22.750066	87.163325	8.500000	77.640468	-0.194857	0.019703
21.673531	87.593839	8.750000	77.640468	-0.193046	0.019704
20.656960	88.025911	9.000000	77.640468	-0.191356	0.019654
19.700322	86.327242	9.250000	80.598426	-0.188115	-0.075968
18.802856	84.746455	9.500000	80.598426	-0.185051	-0.072083
17.959564	83.272624	9.750000	80.598426	-0.182182	-0.068456
17.166001	81.896119	10.000000	80.598426	-0.179490	-0.065063
16.416166	81.836081	10.250000	78.696798	-0.177920	-0.002592
15.704985	81.790195	10.500000	78.696798	-0.176460	-0.001931
15.029937	81.757270	10.750000	78.696798	-0.175082	-0.001324
14.388716	81.736212	11.000000	78.696798	-0.173781	-0.000768
13.781192	80.291336	11.250000	80.956042	-0.171431	-0.069737
13.206913	78.936524	11.500000	80.956042	-0.169196	-0.066564
12.663426	77.664213	11.750000	80.956042	-0.167088	-0.063581
12.148514	76.467656	12.000000	80.956042	-0.165099	-0.060773
11.658938	76.389791	12.250000	79.162384	-0.164039	-0.003815
11.191929	76.322078	12.500000	79.162384	-0.163050	-0.003306
10.746214	76.263785	12.750000	79.162384	-0.162111	-0.002832
10.320608	76.214227	13.000000	79.162384	-0.161219	-0.002391
9.914970	75.210879	13.250000	80.800599	-0.159619	-0.051900
9.529019	74.262822	13.500000	80.800599	-0.158087	-0.049692
9.161505	73.366055	13.750000	80.800599	-0.156633	-0.047603
8.811284	72.516953	14.000000	80.800599	-0.155252	-0.045622
8.476851	72.239287	14.250000	79.831904	-0.154352	-0.014954
8.156886	71.977103	14.500000	79.831904	-0.153501	-0.014172
7.850627	71.729499	14.750000	79.831904	-0.152690	-0.013431
7.557364	71.495635	15.000000	79.831904	-0.151916	-0.012728
7.276058	71.782956	15.250000	78.957239	-0.151574	0.015875
7.005791	72.065145	15.500000	78.957239	-0.151259	0.015527
6.746079	72.342163	15.750000	78.957239	-0.150961	0.015180
6.496465	72.613980	16.000000	78.957239	-0.150679	0.014836
6.256430	73.017372	16.250000	78.735213	-0.150519	0.021865
6.025493	73.411818	16.500000	78.735213	-0.150372	0.021261
5.803284	73.797347	16.750000	78.735213	-0.150236	0.020667
5.589454	74.174001	17.000000	78.735213	-0.150110	0.020085
5.383968	73.984438	17.250000	79.646163	-0.149556	-0.009977
5.186749	73.805134	17.500000	79.646163	-0.149017	-0.009460
4.997412	73.635532	17.750000	79.646163	-0.148503	-0.008969
4.815592	73.475106	18.000000	79.646163	-0.148010	-0.008502
4.641187	72.808383	18.250000	80.562880	-0.147136	-0.035761
4.474061	72.173646	18.500000	80.562880	-0.146293	-0.034356
4.313841	71.568951	18.750000	80.562880	-0.145488	-0.033017
4.160177	70.992505	19.000000	80.562880	-0.144719	-0.031740
4.012041	72.178179	19.250000	77.627924	-0.145343	0.065175
3.868552	73.342689	19.500000	77.627924	-0.145988	0.062960
3.729598	74.485118	19.750000	77.627924	-0.146624	0.060786
3.595068	75.604643	20.000000	77.627924	-0.147251	0.058653
3.464852	76.700531	20.250000	58.812285	-0.147867	0.056565
3.338842	77.772141	20.500000	58.812285	-0.148473	0.054522
3.216933	78.818923	20.750000	58.812285	-0.149066	0.052525
3.099020	79.840416	21.000000	58.812285	-0.149648	0.050575
3.801196	98.905847	21.250000	58.469748	0.808715	0.837501
4.641425	121.244056	21.500000	58.469748	0.789223	0.792287
5.637688	146.829554	21.750000	58.469748	0.766819	0.740448
6.807093	175.382766	22.000000	58.469748	0.741689	0.682518
7.110534	202.733581	22.250000	60.639634	0.163577	0.553112
7.385081	231.088188	22.500000	60.639634	0.140353	0.496208
7.625598	259.663908	22.750000	60.639634	0.117007	0.438857
7.828564	287.653928	23.000000	60.639634	0.094192	0.382675
8.502040	317.262328	23.250000	59.506845	0.318186	0.363436
9.177552	344.890436	23.500000	59.506845	0.294695	0.307547
9.851266	369.960427	23.750000	59.506845	0.273247	0.256758
10.521022	392.136658	24.000000	59.506845	0.254119	0.211750
11.936499	414.048615	24.250000	58.606997	0.495307	0.196397
13.477713	432.652787	24.500000	58.606997	0.477295	0.157828
15.154037	448.118888	24.750000	58.606997	0.461527	0.125436
16.976322	460.735839	25.000000	58.606997	0.447752	0.098640
16.100641	459.851685	25.250000	61.605971	-0.210687	-0.006544
15.278908	459.219881	25.500000	61.605971	-0.208532	-0.004613
14.506429	458.783562	25.750000	61.605971	-0.206634	-0.003115
13.779153	458.498329	26.000000	61.605971	-0.204947	-0.001957
