shape_ris	shape_bet	long_var	short_var	dom_1	dom_2	coexist
50.000000	5.000000	1000.000000	316.227766	0.000000	82.000000	0.000000
50.000000	5.000000	1000.000000	100.000000	0.000000	86.000000	0.000000
50.000000	5.000000	1000.000000	31.622777	0.000000	97.000000	0.000000
50.000000	5.000000	1000.000000	10.000000	0.000000	100.000000	0.000000
50.000000	5.000000	1000.000000	3.162278	0.000000	100.000000	0.000000
50.000000	5.000000	316.227766	316.227766	3.000000	61.000000	0.000000
50.000000	5.000000	316.227766	100.000000	3.000000	67.000000	0.000000
50.000000	5.000000	316.227766	31.622777	0.000000	92.000000	0.000000
50.000000	5.000000	316.227766	10.000000	0.000000	100.000000	0.000000
50.000000	5.000000	316.227766	3.162278	0.000000	100.000000	0.000000
50.000000	5.000000	100.000000	316.227766	6.000000	60.000000	0.000000
50.000000	5.000000	100.000000	100.000000	2.000000	57.000000	0.000000
50.000000	5.000000	100.000000	31.622777	0.000000	90.000000	0.000000
50.000000	5.000000	100.000000	10.000000	0.000000	99.000000	0.000000
50.000000	5.000000	100.000000	3.162278	0.000000	100.000000	0.000000
50.000000	5.000000	31.622777	316.227766	3.000000	59.000000	0.000000
50.000000	5.000000	31.622777	100.000000	5.000000	67.000000	0.000000
50.000000	5.000000	31.622777	31.622777	0.000000	92.000000	0.000000
50.000000	5.000000	31.622777	10.000000	0.000000	99.000000	0.000000
50.000000	5.000000	31.622777	3.162278	0.000000	100.000000	0.000000
50.000000	5.000000	10.000000	316.227766	3.000000	66.000000	0.000000
50.000000	5.000000	10.000000	100.000000	2.000000	69.000000	0.000000
50.000000	5.000000	10.000000	31.622777	0.000000	77.000000	0.000000
50.000000	5.000000	10.000000	10.000000	0.000000	91.000000	0.000000
50.000000	5.000000	10.000000	3.162278	0.000000	99.000000	0.000000
