Nr	Nb	time	environment	abf_r	abf_b
250.000000	250.000000	0.000000	0.000000	0.000000	0.000000
249.771515	266.693785	0.250000	59.359304	-0.009667	0.242826
248.814507	282.250293	0.500000	59.359304	-0.020244	0.212421
247.277183	296.565516	0.750000	59.359304	-0.028662	0.184961
245.295269	309.593319	1.000000	59.359304	-0.035156	0.160433
297.582682	324.609225	1.250000	56.920039	0.716918	0.155558
350.706545	334.666719	1.500000	56.920039	0.602526	0.092741
402.001349	340.123594	1.750000	56.920039	0.495381	0.040571
449.241766	341.681330	2.000000	56.920039	0.399402	-0.000554
459.086106	339.845785	2.250000	57.649040	0.078255	-0.023403
467.231869	337.748494	2.500000	57.649040	0.063576	-0.025758
473.967142	335.529992	2.750000	57.649040	0.051828	-0.026732
479.541207	333.289731	3.000000	57.649040	0.042430	-0.026727
461.670872	330.661479	3.250000	58.226304	-0.134602	-0.022829
448.114487	329.391714	3.500000	58.226304	-0.106310	-0.009342
437.628515	329.039647	3.750000	58.226304	-0.084940	-0.000178
429.383757	329.304250	4.000000	58.226304	-0.068577	0.005940
424.805194	330.034102	4.250000	58.166911	-0.038920	0.009829
421.077319	330.905652	4.500000	58.166911	-0.032129	0.011084
418.012350	331.852405	4.750000	58.166911	-0.026733	0.011654
415.469627	332.827387	5.000000	58.166911	-0.022408	0.011746
434.536767	334.309647	5.250000	57.575186	0.161189	0.009449
450.455904	334.494127	5.500000	57.575186	0.129067	-0.003746
463.612229	333.759884	5.750000	57.575186	0.103227	-0.012874
474.412557	332.409489	6.000000	57.575186	0.082613	-0.018868
429.830129	329.190702	6.250000	59.112764	-0.353108	-0.020106
397.085939	328.784664	6.500000	59.112764	-0.286881	0.007142
372.081762	330.172163	6.750000	59.112764	-0.237705	0.024529
352.400088	332.706501	7.000000	59.112764	-0.200176	0.035314
375.608249	337.749758	7.250000	57.690140	0.231497	0.046951
395.719704	340.712004	7.500000	57.690140	0.188752	0.024815
412.870911	342.060603	7.750000	57.690140	0.153235	0.008295
427.319837	342.210020	8.000000	57.690140	0.124099	-0.003645
493.400376	342.050942	8.250000	56.469348	0.512870	-0.026086
552.350450	338.001651	8.500000	56.469348	0.397825	-0.065411
602.362494	331.282275	8.750000	56.469348	0.302771	-0.092215
643.144587	322.986936	9.000000	56.469348	0.227466	-0.108438
635.796956	314.132059	9.250000	57.111653	-0.036160	-0.100397
631.353418	307.084963	9.500000	57.111653	-0.021517	-0.082649
628.814101	301.357590	9.750000	57.111653	-0.011777	-0.069092
627.524544	296.619392	10.000000	57.111653	-0.005353	-0.058534
544.297834	291.840950	10.250000	58.908150	-0.493196	-0.031436
488.687095	291.424634	10.500000	58.908150	-0.380766	0.014347
449.089299	293.608487	10.750000	58.908150	-0.302785	0.041939
419.562840	297.385971	11.000000	58.908150	-0.246409	0.058185
430.794667	303.206114	11.250000	57.834261	0.093122	0.067992
439.664967	307.728404	11.500000	57.834261	0.071659	0.051770
446.600229	311.206987	11.750000	57.834261	0.054921	0.039200
451.981164	313.860457	12.000000	57.834261	0.041969	0.029537
427.630670	315.107150	12.250000	58.660360	-0.199679	0.023422
408.800139	317.427466	12.500000	58.660360	-0.163676	0.033954
393.878243	320.409623	12.750000	58.660360	-0.136077	0.040000
381.812721	323.772082	13.000000	58.660360	-0.114533	0.042978
395.719101	328.191422	13.250000	57.873682	0.128519	0.045028
407.237882	331.215841	13.500000	57.873682	0.102953	0.029679
416.700191	333.159383	13.750000	57.873682	0.082383	0.018154
424.430508	334.287002	14.000000	57.873682	0.065945	0.009661
376.663586	332.273129	14.250000	59.817112	-0.433447	-0.005331
341.250457	333.081233	14.500000	59.817112	-0.362838	0.021631
313.903049	335.678379	14.750000	59.817112	-0.309933	0.038477
292.105644	339.406748	15.000000	59.817112	-0.269120	0.048568
290.838927	345.516760	15.250000	58.881601	-0.018439	0.066124
289.441173	350.829155	15.500000	58.881601	-0.019910	0.056586
287.971752	355.443879	15.750000	58.881601	-0.020675	0.048505
286.476008	359.451926	16.000000	58.881601	-0.020899	0.041663
338.147050	365.469563	16.250000	56.899962	0.611643	0.041480
388.732266	367.101592	16.500000	56.899962	0.509013	-0.002448
436.062976	365.176731	16.750000	56.899962	0.415676	-0.036653
478.585389	360.604298	17.000000	56.899962	0.334041	-0.061700
448.823431	353.156439	17.250000	58.519261	-0.227008	-0.065998
426.837403	348.660342	17.500000	58.519261	-0.179147	-0.039219
410.124146	346.140567	17.750000	58.519261	-0.143503	-0.020674
397.126135	344.965579	18.000000	58.519261	-0.116424	-0.007831
462.331461	346.220288	18.250000	56.525794	0.545921	-0.010780
521.762470	343.316663	18.500000	56.525794	0.429040	-0.052774
573.214509	337.432252	18.750000	56.525794	0.330462	-0.082401
615.934949	329.675950	19.000000	56.525794	0.250856	-0.101259
670.430771	320.828577	19.250000	56.216854	0.292041	-0.120275
713.550333	310.676594	19.500000	56.216854	0.213477	-0.134672
746.706972	300.127164	19.750000	56.216854	0.155240	-0.140246
771.789082	289.777223	20.000000	56.216854	0.113077	-0.139710
792.583887	279.956005	20.250000	56.191651	0.091017	-0.136201
808.160706	270.777691	20.500000	56.191651	0.067038	-0.130349
819.916938	262.343845	20.750000	56.191651	0.050155	-0.122907
828.905850	254.672935	21.000000	56.191651	0.038232	-0.114764
802.940621	248.028845	21.250000	56.617767	-0.101813	-0.090474
786.753890	243.243990	21.500000	56.617767	-0.065285	-0.067775
776.547991	239.666186	21.750000	56.617767	-0.041807	-0.052340
770.101859	236.900230	22.000000	56.617767	-0.026572	-0.041576
790.626642	234.517397	22.250000	56.285466	0.087511	-0.045513
805.118313	231.661473	22.500000	56.285466	0.060605	-0.051489
815.357948	228.619884	22.750000	56.285466	0.042416	-0.053657
822.655810	225.571475	23.000000	56.285466	0.030163	-0.053435
677.951286	222.902771	23.250000	58.712172	-0.646554	0.004620
590.949947	225.256259	23.500000	58.712172	-0.472789	0.070295
533.279302	230.435476	23.750000	58.712172	-0.360687	0.106508
492.458058	237.308877	24.000000	58.712172	-0.283999	0.125680
457.314875	245.067281	24.250000	58.864503	-0.266961	0.133974
430.538663	253.597343	24.500000	58.864503	-0.219950	0.138467
409.456270	262.522601	24.750000	58.864503	-0.184731	0.137568
392.407202	271.568710	25.000000	58.864503	-0.157733	0.133171
471.122998	282.208086	25.250000	56.368386	0.652444	0.114277
543.654844	287.683864	25.500000	56.368386	0.502583	0.044972
