Environment	abf_r	abf_b
18.800000	-0.283989	-0.126950
18.900000	-0.283989	-0.124371
19.000000	-0.283989	-0.121768
19.100000	-0.283989	-0.119143
19.200000	-0.283989	-0.116494
19.300000	-0.283989	-0.113822
19.400000	-0.283989	-0.111127
19.500000	-0.283989	-0.108409
19.600000	-0.283989	-0.105669
19.700000	-0.283989	-0.102905
19.800000	-0.283989	-0.100119
19.900000	-0.283989	-0.097310
20.000000	-0.283989	-0.094479
20.100000	-0.283989	-0.091625
20.200000	-0.283989	-0.088749
20.300000	-0.283989	-0.085850
20.400000	-0.283989	-0.082929
20.500000	-0.283989	-0.079986
20.600000	-0.283989	-0.077021
20.700000	-0.283989	-0.074034
20.800000	-0.283989	-0.071025
20.900000	-0.283989	-0.067994
21.000000	-0.283989	-0.064942
21.100000	-0.283989	-0.061868
21.200000	-0.283989	-0.058772
21.300000	-0.283989	-0.055655
21.400000	-0.283989	-0.052517
21.500000	-0.283989	-0.049358
21.600000	-0.283989	-0.046178
21.700000	-0.283989	-0.042977
21.800000	-0.283989	-0.039755
21.900000	-0.283989	-0.036513
22.000000	-0.283989	-0.033250
22.100000	-0.283989	-0.029967
22.200000	-0.283989	-0.026664
22.300000	-0.283989	-0.023340
22.400000	-0.283989	-0.019997
22.500000	-0.283989	-0.016633
22.600000	-0.283989	-0.013250
22.700000	-0.283989	-0.009848
22.800000	-0.283989	-0.006426
22.900000	-0.283989	-0.002985
23.000000	-0.283989	0.000475
23.100000	-0.283989	0.003954
23.200000	-0.283989	0.007451
23.300000	-0.283989	0.010967
23.400000	-0.283989	0.014502
23.500000	-0.283989	0.018055
23.600000	-0.283989	0.021626
23.700000	-0.283989	0.025214
23.800000	-0.283989	0.028821
23.900000	-0.283989	0.032445
24.000000	-0.283989	0.036086
24.100000	-0.283989	0.039745
24.200000	-0.283988	0.043420
24.300000	-0.283988	0.047113
24.400000	-0.283988	0.050822
24.500000	-0.283988	0.054547
24.600000	-0.283988	0.058289
24.700000	-0.283987	0.062046
24.800000	-0.283987	0.065820
24.900000	-0.283987	0.069609
25.000000	-0.283986	0.073414
25.100000	-0.283986	0.077234
25.200000	-0.283985	0.081069
25.300000	-0.283985	0.084918
25.400000	-0.283984	0.088783
25.500000	-0.283984	0.092662
25.600000	-0.283983	0.096555
25.700000	-0.283982	0.100462
25.800000	-0.283981	0.104382
25.900000	-0.283980	0.108317
26.000000	-0.283979	0.112264
26.100000	-0.283977	0.116225
26.200000	-0.283976	0.120199
26.300000	-0.283974	0.124185
26.400000	-0.283972	0.128184
26.500000	-0.283970	0.132195
26.600000	-0.283967	0.136218
26.700000	-0.283964	0.140253
26.800000	-0.283961	0.144299
26.900000	-0.283958	0.148357
27.000000	-0.283954	0.152426
27.100000	-0.283950	0.156505
27.200000	-0.283945	0.160595
27.300000	-0.283940	0.164695
27.400000	-0.283934	0.168806
27.500000	-0.283927	0.172926
27.600000	-0.283920	0.177056
27.700000	-0.283912	0.181195
27.800000	-0.283903	0.185344
27.900000	-0.283893	0.189501
28.000000	-0.283882	0.193667
28.100000	-0.283870	0.197841
28.200000	-0.283857	0.202023
28.300000	-0.283842	0.206213
28.400000	-0.283826	0.210411
28.500000	-0.283808	0.214616
28.600000	-0.283789	0.218828
28.700000	-0.283767	0.223047
28.800000	-0.283743	0.227272
28.900000	-0.283717	0.231504
29.000000	-0.283688	0.235742
29.100000	-0.283657	0.239985
29.200000	-0.283622	0.244234
29.300000	-0.283584	0.248488
29.400000	-0.283543	0.252747
29.500000	-0.283497	0.257011
29.600000	-0.283448	0.261279
29.700000	-0.283393	0.265552
29.800000	-0.283334	0.269828
29.900000	-0.283269	0.274108
30.000000	-0.283199	0.278391
30.100000	-0.283121	0.282678
30.200000	-0.283037	0.286967
30.300000	-0.282946	0.291258
30.400000	-0.282846	0.295552
30.500000	-0.282738	0.299848
30.600000	-0.282621	0.304145
30.700000	-0.282493	0.308444
30.800000	-0.282354	0.312744
30.900000	-0.282204	0.317045
31.000000	-0.282041	0.321346
31.100000	-0.281864	0.325648
31.200000	-0.281673	0.329950
31.300000	-0.281466	0.334251
31.400000	-0.281243	0.338552
31.500000	-0.281001	0.342852
31.600000	-0.280740	0.347151
31.700000	-0.280459	0.351448
31.800000	-0.280155	0.355744
31.900000	-0.279827	0.360038
32.000000	-0.279475	0.364330
32.100000	-0.279095	0.368619
32.200000	-0.278686	0.372905
32.300000	-0.278247	0.377188
32.400000	-0.277774	0.381468
32.500000	-0.277267	0.385744
32.600000	-0.276722	0.390016
32.700000	-0.276138	0.394284
32.800000	-0.275512	0.398547
32.900000	-0.274841	0.402805
33.000000	-0.274122	0.407059
33.100000	-0.273353	0.411306
33.200000	-0.272530	0.415549
33.300000	-0.271650	0.419785
33.400000	-0.270710	0.424015
33.500000	-0.269706	0.428239
33.600000	-0.268635	0.432455
33.700000	-0.267493	0.436665
33.800000	-0.266275	0.440867
33.900000	-0.264978	0.445062
34.000000	-0.263596	0.449248
34.100000	-0.262126	0.453426
34.200000	-0.260563	0.457596
34.300000	-0.258901	0.461757
34.400000	-0.257135	0.465909
34.500000	-0.255260	0.470051
34.600000	-0.253271	0.474184
34.700000	-0.251161	0.478307
34.800000	-0.248924	0.482420
34.900000	-0.246554	0.486522
35.000000	-0.244045	0.490613
35.100000	-0.241390	0.494693
35.200000	-0.238582	0.498762
35.300000	-0.235613	0.502819
35.400000	-0.232476	0.506865
35.500000	-0.229164	0.510898
35.600000	-0.225669	0.514918
35.700000	-0.221982	0.518926
35.800000	-0.218095	0.522921
35.900000	-0.213999	0.526903
36.000000	-0.209687	0.530871
36.100000	-0.205147	0.534825
36.200000	-0.200372	0.538765
36.300000	-0.195351	0.542691
36.400000	-0.190075	0.546602
36.500000	-0.184534	0.550498
36.600000	-0.178718	0.554378
36.700000	-0.172616	0.558244
36.800000	-0.166217	0.562093
36.900000	-0.159511	0.565927
37.000000	-0.152486	0.569744
37.100000	-0.145133	0.573545
37.200000	-0.137438	0.577329
37.300000	-0.129391	0.581095
37.400000	-0.120979	0.584845
37.500000	-0.112192	0.588577
37.600000	-0.103017	0.592291
37.700000	-0.093441	0.595987
37.800000	-0.083454	0.599664
37.900000	-0.073042	0.603323
38.000000	-0.062194	0.606963
38.100000	-0.050896	0.610583
38.200000	-0.039137	0.614185
38.300000	-0.026904	0.617766
38.400000	-0.014185	0.621328
38.500000	-0.000967	0.624870
38.600000	0.012762	0.628391
38.700000	0.027014	0.631891
38.800000	0.041801	0.635371
38.900000	0.057136	0.638829
39.000000	0.073030	0.642267
39.100000	0.089495	0.645682
39.200000	0.106543	0.649075
39.300000	0.124184	0.652447
39.400000	0.142431	0.655796
39.500000	0.161293	0.659122
39.600000	0.180781	0.662426
39.700000	0.200905	0.665706
39.800000	0.221675	0.668964
39.900000	0.243101	0.672197
40.000000	0.265191	0.675407
40.100000	0.287953	0.678593
40.200000	0.311397	0.681755
40.300000	0.335528	0.684892
40.400000	0.360354	0.688005
40.500000	0.385882	0.691093
40.600000	0.412117	0.694155
40.700000	0.439064	0.697193
40.800000	0.466727	0.700205
40.900000	0.495110	0.703191
41.000000	0.524216	0.706151
41.100000	0.554047	0.709085
41.200000	0.584604	0.711992
41.300000	0.615888	0.714873
41.400000	0.647899	0.717728
41.500000	0.680635	0.720555
41.600000	0.714094	0.723355
