shape_ris	shape_bet	long_var	short_var	dom_1	dom_2	coexist
12.500000	5.000000	1000.000000	316.227766	0.000000	0.000000	100.000000
12.500000	5.000000	1000.000000	100.000000	0.000000	0.000000	100.000000
12.500000	5.000000	1000.000000	31.622777	0.000000	0.000000	100.000000
12.500000	5.000000	1000.000000	10.000000	0.000000	0.000000	100.000000
12.500000	5.000000	1000.000000	3.162278	0.000000	0.000000	100.000000
12.500000	5.000000	316.227766	316.227766	0.000000	0.000000	100.000000
12.500000	5.000000	316.227766	100.000000	0.000000	0.000000	100.000000
12.500000	5.000000	316.227766	31.622777	0.000000	0.000000	100.000000
12.500000	5.000000	316.227766	10.000000	0.000000	0.000000	100.000000
12.500000	5.000000	316.227766	3.162278	0.000000	0.000000	100.000000
12.500000	5.000000	100.000000	316.227766	0.000000	0.000000	100.000000
12.500000	5.000000	100.000000	100.000000	0.000000	0.000000	100.000000
12.500000	5.000000	100.000000	31.622777	0.000000	0.000000	100.000000
12.500000	5.000000	100.000000	10.000000	0.000000	0.000000	100.000000
12.500000	5.000000	100.000000	3.162278	0.000000	0.000000	100.000000
12.500000	5.000000	31.622777	316.227766	0.000000	0.000000	100.000000
12.500000	5.000000	31.622777	100.000000	0.000000	0.000000	100.000000
12.500000	5.000000	31.622777	31.622777	0.000000	0.000000	100.000000
12.500000	5.000000	31.622777	10.000000	0.000000	0.000000	100.000000
12.500000	5.000000	31.622777	3.162278	0.000000	0.000000	100.000000
12.500000	5.000000	10.000000	316.227766	0.000000	81.000000	19.000000
12.500000	5.000000	10.000000	100.000000	0.000000	75.000000	25.000000
12.500000	5.000000	10.000000	31.622777	0.000000	32.000000	68.000000
12.500000	5.000000	10.000000	10.000000	0.000000	2.000000	98.000000
12.500000	5.000000	10.000000	3.162278	0.000000	0.000000	100.000000
