N1	N2	time	environment	abf_1	abf_2
1561.832047	41.871889	21.500000	53.034997	0.153036	-0.175241
1603.312470	39.901263	21.750000	53.034997	0.070397	-0.204993
1622.765748	37.841028	22.000000	53.034997	0.032543	-0.216673
1507.970119	36.201698	22.250000	54.070808	-0.197275	-0.137470
1457.309670	35.199508	22.500000	54.070808	-0.093546	-0.094281
1433.694630	34.482289	22.750000	54.070808	-0.045026	-0.073661
1422.442866	33.903280	23.000000	54.070808	-0.021724	-0.063364
1471.949695	33.251526	23.250000	53.606967	0.094611	-0.093975
1496.489231	32.392984	23.500000	53.606967	0.045511	-0.112177
1508.448399	31.460495	23.750000	53.606967	0.021991	-0.120020
1514.309837	30.517068	24.000000	53.606967	0.010857	-0.122888
1419.323113	29.823917	24.250000	54.415651	-0.178932	-0.059343
1375.077280	29.540807	24.500000	54.415651	-0.088901	-0.022846
1353.425265	29.448064	24.750000	54.415651	-0.044910	-0.005089
1342.567373	29.448044	25.000000	54.415651	-0.022895	0.003719
1419.357321	29.309948	25.250000	53.713029	0.156049	-0.045208
1458.916024	28.849936	25.500000	53.713029	0.076201	-0.076382
1478.530672	28.243495	25.750000	53.713029	0.036894	-0.091089
1488.131813	27.581194	26.000000	53.713029	0.017945	-0.097557
1621.246304	26.620638	26.250000	52.561528	0.228891	-0.186452
1684.861581	25.225997	26.500000	52.561528	0.100777	-0.235363
1713.447064	23.712814	26.750000	52.561528	0.043878	-0.255581
1726.094990	22.220214	27.000000	52.561528	0.019363	-0.262878
1574.771521	21.087624	27.250000	53.904338	-0.241858	-0.158382
1510.976318	20.427676	27.500000	53.904338	-0.111628	-0.105171
1482.096305	19.968315	27.750000	53.904338	-0.052598	-0.080783
1468.626701	19.602191	28.000000	53.904338	-0.024955	-0.069109
1637.548194	19.004518	28.250000	52.310362	0.290250	-0.181394
1718.922836	17.991767	28.500000	52.310362	0.125738	-0.245505
1754.979294	16.852769	28.750000	52.310362	0.053321	-0.272560
1770.489404	15.718083	29.000000	52.310362	0.022680	-0.282909
1708.416192	14.728045	29.250000	52.957291	-0.091147	-0.238823
1682.933835	13.920082	29.500000	52.957291	-0.038635	-0.216457
1672.249092	13.206286	29.750000	52.957291	-0.016319	-0.206329
1667.795274	12.551257	30.000000	52.957291	-0.006727	-0.201390
1486.177777	12.122560	30.250000	54.437126	-0.310912	-0.078615
1407.519198	11.998584	30.500000	54.437126	-0.151014	-0.014441
1370.286854	12.007815	30.750000	54.437126	-0.075471	0.015763
1351.914247	12.080976	31.000000	54.437126	-0.038270	0.030522
1504.913895	12.033047	31.250000	53.027730	0.295750	-0.069059
1583.470573	11.719239	31.500000	53.027730	0.136616	-0.132191
1620.616215	11.289675	31.750000	53.027730	0.061511	-0.161514
1637.544783	10.822389	32.000000	53.027730	0.027485	-0.174340
1674.329199	10.326438	32.250000	52.764324	0.058096	-0.199537
1690.654851	9.806136	32.500000	52.764324	0.025321	-0.211773
1697.837984	9.293743	32.750000	52.764324	0.011128	-0.216589
1701.036744	8.801680	33.000000	52.764324	0.005022	-0.218204
1585.376435	8.419363	33.250000	53.759994	-0.185737	-0.138982
1535.958013	8.180483	33.500000	53.759994	-0.085082	-0.098315
1513.646926	8.003412	33.750000	53.759994	-0.039616	-0.079830
1503.335156	7.855162	34.000000	53.759994	-0.018555	-0.071156
1725.891220	7.573830	34.250000	51.464001	0.360727	-0.222220
1830.635374	7.076241	34.500000	51.464001	0.148155	-0.306417
1874.693421	6.520537	34.750000	51.464001	0.058890	-0.341190
1892.410933	5.975411	35.000000	51.464001	0.023233	-0.354536
1724.807709	5.553496	35.250000	53.239125	-0.234522	-0.238019
1659.169762	5.274691	35.500000	53.239125	-0.100666	-0.184006
1631.461417	5.054598	35.750000	53.239125	-0.044130	-0.161020
1619.413769	4.862410	36.000000	53.239125	-0.019479	-0.150836
1593.260386	4.694011	36.250000	53.416133	-0.043132	-0.132058
1581.655116	4.548031	36.500000	53.416133	-0.019427	-0.122330
1576.453324	4.413935	36.750000	53.416133	-0.008748	-0.117833
1574.122799	4.287138	37.000000	53.416133	-0.003910	-0.115684
1381.495576	4.230295	37.250000	54.982735	-0.361899	0.010725
