Nr	Nb	time	environment	abf_r	abf_b
250.000000	250.000000	0.000000	0.000000	0.000000	0.000000
231.934654	264.287417	0.250000	60.796426	-0.288578	0.215375
216.370546	278.347318	0.500000	60.796426	-0.268615	0.199728
202.761674	291.978865	0.750000	60.796426	-0.252241	0.183359
190.718719	305.020405	1.000000	60.796426	-0.238542	0.166907
176.299339	316.083336	1.250000	61.343973	-0.305149	0.137367
163.716289	326.657594	1.500000	61.343973	-0.288385	0.126290
152.617797	336.648004	1.750000	61.343973	-0.274136	0.115184
142.741922	345.993841	2.000000	61.343973	-0.261827	0.104385
151.531949	360.366095	2.250000	58.959825	0.225307	0.146036
159.760582	372.248418	2.500000	58.959825	0.199283	0.115584
167.409250	381.859111	2.750000	58.959825	0.176239	0.090148
174.479976	389.466364	3.000000	58.959825	0.155959	0.069193
173.303518	393.841837	3.250000	59.624931	-0.027564	0.041047
172.098687	397.558262	3.500000	59.624931	-0.028138	0.034553
170.888307	400.718896	3.750000	59.624931	-0.028254	0.029180
169.689633	403.412591	4.000000	59.624931	-0.028018	0.024735
158.649787	402.512959	4.250000	60.830556	-0.258455	-0.004085
149.103807	402.524781	4.500000	60.830556	-0.239307	0.003580
140.749232	403.184600	4.750000	60.830556	-0.223074	0.008983
133.361598	404.298333	5.000000	60.830556	-0.209149	0.012695
135.212831	409.177884	5.250000	59.564962	0.051590	0.042766
136.850767	413.068627	5.500000	59.564962	0.045180	0.033635
138.305635	416.144966	5.750000	59.564962	0.039790	0.026286
139.603631	418.556731	6.000000	59.564962	0.035249	0.020398
137.844452	419.473465	6.250000	59.926227	-0.049403	0.008546
136.198896	420.347093	6.500000	59.926227	-0.046808	0.008115
134.657257	421.177309	6.750000	59.926227	-0.044385	0.007688
133.210963	421.964569	7.000000	59.926227	-0.042119	0.007270
135.989499	424.088729	7.250000	59.406944	0.079159	0.017090
138.589339	425.608968	7.500000	59.406944	0.072727	0.011945
141.025417	426.648571	7.750000	59.406944	0.067010	0.007897
143.310952	427.308901	8.000000	59.406944	0.061900	0.004733
135.792055	424.078422	8.250000	60.701976	-0.207340	-0.024627
129.189221	422.017532	8.500000	60.701976	-0.192437	-0.015169
123.329776	420.826781	8.750000	60.701976	-0.179726	-0.008059
118.082978	420.283694	9.000000	60.701976	-0.168767	-0.002744
106.757316	413.954684	9.250000	62.650331	-0.390438	-0.050731
97.125407	409.650177	9.500000	62.650331	-0.367643	-0.034324
88.821057	406.832245	9.750000	62.650331	-0.348712	-0.021974
