Nr	Nb	time	environment	abf_r	abf_b
250.000000	250.000000	0.000000	0.000000	0.000000	0.000000
481.313922	269.863484	0.250000	52.622931	2.375389	0.193470
803.388955	273.723765	0.500000	52.622931	1.730312	-0.071649
1134.969099	260.268939	0.750000	52.622931	1.075997	-0.311286
1387.609845	235.522928	1.000000	52.622931	0.586357	-0.465808
1050.114576	214.848311	1.250000	57.194468	-0.828825	-0.238868
894.121140	206.618928	1.500000	57.194468	-0.505963	-0.095635
807.799174	203.913492	1.750000	57.194468	-0.329235	-0.020268
755.107891	204.100894	2.000000	57.194468	-0.222995	0.021985
1095.197416	202.148756	2.250000	47.279361	1.166578	-0.163460
1362.691087	188.942875	2.500000	47.279361	0.637974	-0.352997
1527.378037	170.537928	2.750000	47.279361	0.319503	-0.449548
1615.627693	151.602109	3.000000	47.279361	0.155823	-0.483178
1064.081039	140.095910	3.250000	58.302159	-1.225797	-0.130773
837.335223	139.320574	3.500000	58.302159	-0.764959	0.055081
715.768360	143.107776	3.750000	58.302159	-0.522141	0.145956
641.083100	149.443289	4.000000	58.302159	-0.376486	0.193641
757.955522	157.187854	4.250000	55.573664	0.558188	0.151653
849.470712	161.431483	4.500000	55.573664	0.370636	0.069397
914.975914	162.984122	4.750000	55.573664	0.237376	0.013410
959.026732	162.727372	5.000000	55.573664	0.148715	-0.021671
1092.742189	160.355797	5.250000	54.518742	0.402360	-0.104199
1179.690255	154.909175	5.500000	54.518742	0.231128	-0.163614
1232.175934	148.071812	5.750000	54.518742	0.130503	-0.192403
1262.875931	140.887085	6.000000	54.518742	0.074183	-0.202861
1416.920426	132.496709	6.250000	53.322949	0.328203	-0.291315
1502.126370	122.298635	6.500000	53.322949	0.163765	-0.339982
1546.481632	112.054925	6.750000	53.322949	0.082075	-0.355433
1569.586581	102.511352	7.000000	53.322949	0.042923	-0.355032
1809.956568	92.011204	7.250000	50.030210	0.367875	-0.504236
1921.521697	80.282955	7.500000	50.030210	0.150398	-0.571519
1969.107408	69.397485	7.750000	50.030210	0.062309	-0.588424
1989.777606	59.908569	8.000000	50.030210	0.027918	-0.586191
1940.819840	52.091327	8.250000	51.555167	-0.057479	-0.536343
1924.335212	45.726767	8.500000	51.555167	-0.018651	-0.510081
1919.503470	40.335558	8.750000	51.555167	-0.004389	-0.495291
1918.877170	35.686078	9.000000	51.555167	0.000690	-0.485426
1893.072468	31.720454	9.250000	51.890122	-0.031804	-0.459145
1884.044665	28.337944	9.500000	51.890122	-0.010637	-0.444979
1881.300604	25.383461	9.750000	51.890122	-0.002630	-0.436800
1880.900909	22.774876	10.000000	51.890122	0.000316	-0.431228
1964.006125	20.297726	10.250000	50.308688	0.105244	-0.485672
1996.825996	17.916520	10.500000	50.308688	0.040262	-0.507658
2009.648953	15.765477	10.750000	50.308688	0.015861	-0.513796
2014.876716	13.863391	11.000000	50.308688	0.006750	-0.514237
1931.845628	12.295260	11.250000	48.090003	-0.100712	-0.451891
1901.611169	11.026353	11.500000	48.090003	-0.038013	-0.424673
1890.355892	9.932292	11.750000	48.090003	-0.014174	-0.413294
1886.251078	8.964133	12.000000	48.090003	-0.005017	-0.408001
1903.077959	8.084055	12.250000	48.310987	0.021987	-0.418065
1909.827654	7.277404	12.500000	48.310987	0.008888	-0.421947
1912.620174	6.547907	12.750000	48.310987	0.003791	-0.422757
1913.863829	5.891339	13.000000	48.310987	0.001793	-0.422451
1982.448416	5.266604	13.250000	49.809128	0.084707	-0.470337
2008.770240	4.668041	13.500000	49.809128	0.031507	-0.490610
2018.655845	4.124815	13.750000	49.809128	0.011780	-0.497586
2022.402141	3.641138	14.000000	49.809128	0.004531	-0.499671
1819.994056	3.277686	14.250000	53.023290	-0.259105	-0.355281
1745.140041	3.026740	14.500000	53.023290	-0.106360	-0.293759
1714.936689	2.822844	14.750000	53.023290	-0.044709	-0.268755
1702.342851	2.643539	15.000000	53.023290	-0.018937	-0.258144
1590.970804	2.503615	15.250000	46.105354	-0.178326	-0.180499
1543.375937	2.406846	15.500000	46.105354	-0.081491	-0.141602
1521.922546	2.329105	15.750000	46.105354	-0.037845	-0.124012
1512.026119	2.260693	16.000000	46.105354	-0.017691	-0.115836
1797.452476	2.142088	16.250000	49.485403	0.445351	-0.313981
1930.475763	1.949066	16.500000	49.485403	0.174876	-0.421848
1984.108272	1.742650	16.750000	49.485403	0.065725	-0.465161
2004.479165	1.547551	17.000000	49.485403	0.024331	-0.481390
1378.857408	1.451689	17.250000	56.480722	-1.007078	-0.059954
1148.297183	1.469990	17.500000	56.480722	-0.538301	0.127528
1036.763977	1.537387	17.750000	56.480722	-0.312358	0.217793
975.778054	1.634763	18.000000	56.480722	-0.189076	0.266943
1260.557124	1.719621	18.250000	46.707215	0.763500	0.098047
1446.741250	1.725239	18.500000	46.707215	0.387135	-0.052510
1547.540625	1.682825	18.750000	46.707215	0.182821	-0.134166
1596.607154	1.617933	19.000000	46.707215	0.083252	-0.173885
1664.139740	1.538842	19.250000	52.902315	0.108634	-0.223242
1694.526116	1.450072	19.500000	52.902315	0.046928	-0.247775
1707.757899	1.360847	19.750000	52.902315	0.020088	-0.258362
1713.446450	1.274887	20.000000	52.902315	0.008585	-0.262818
1409.285466	1.225533	20.250000	44.627313	-0.533361	-0.058562
1281.088923	1.226205	20.500000	44.627313	-0.272971	0.045594
1218.595990	1.249334	20.750000	44.627313	-0.146299	0.096225
1185.976456	1.284586	21.000000	44.627313	-0.080262	0.122581
1425.745785	1.301985	21.250000	46.927073	0.522912	-0.031633
1561.823916	1.271452	21.500000	46.927073	0.247215	-0.141861
1628.830211	1.217485	21.750000	46.927073	0.111213	-0.196172
1659.526181	1.155005	22.000000	46.927073	0.048879	-0.221001
1819.063523	1.076738	22.250000	51.554551	0.232391	-0.334514
1888.129653	0.982156	22.500000	51.554551	0.091866	-0.390565
1915.821373	0.887818	22.750000	51.554551	0.035514	-0.412947
1926.591415	0.799703	23.000000	51.554551	0.013631	-0.421552
1988.166798	0.715369	23.250000	49.768333	0.075370	-0.465890
2011.543795	0.634909	23.500000	49.768333	0.027750	-0.484803
2020.192460	0.561852	23.750000	49.768333	0.010162	-0.491715
2023.378125	0.000000	24.000000	49.768333	0.004120	-0.493186
1948.619075	0.000000	24.250000	48.213632	-0.090169	-0.439767
1921.226736	0.000000	24.500000	48.213632	-0.034297	-0.417418
1910.861121	0.000000	24.750000	48.213632	-0.013162	-0.408964
1906.890979	0.000000	25.000000	48.213632	-0.005068	-0.405726
1216.112965	0.000000	25.250000	57.858350	-1.259794	0.039040
958.180342	0.000000	25.500000	57.858350	-0.735682	0.248685
827.724238	0.000000	25.750000	57.858350	-0.471634	0.354304
751.675197	0.000000	26.000000	57.858350	-0.318027	0.415747
814.958822	0.000000	26.250000	43.794835	0.265481	0.406478
860.064985	0.000000	26.500000	43.794835	0.174610	0.370129
890.777323	0.000000	26.750000	43.794835	0.112690	0.345361
911.043137	0.000000	27.000000	43.794835	0.071810	0.329009
995.880308	0.000000	27.250000	44.575982	0.279558	0.277744
1051.408563	0.000000	27.500000	44.575982	0.167484	0.232915
1085.742939	0.000000	27.750000	44.575982	0.098124	0.205170
1106.230898	0.000000	28.000000	44.575982	0.056712	0.188606
1091.601805	0.000000	28.250000	55.681429	-0.040424	0.194906
1083.218970	0.000000	28.500000	55.681429	-0.023473	0.201687
1078.372800	0.000000	28.750000	55.681429	-0.013674	0.205607
1075.556890	0.000000	29.000000	55.681429	-0.007981	0.207884
1457.477137	0.000000	29.250000	48.071969	0.867201	-0.042096
1691.543850	0.000000	29.500000	48.071969	0.393135	-0.231722
1804.472817	0.000000	29.750000	48.071969	0.163614	-0.323531
1852.671778	0.000000	30.000000	48.071969	0.065493	-0.362779
1638.849383	0.000000	30.250000	46.014618	-0.316594	-0.215992
1553.442496	0.000000	30.500000	46.014618	-0.142833	-0.146488
1515.811808	0.000000	30.750000	46.014618	-0.066368	-0.115902
1498.519524	0.000000	31.000000	46.014618	-0.031249	-0.101854
1512.856107	0.000000	31.250000	46.198295	0.025900	-0.110444
1519.636277	0.000000	31.500000	46.198295	0.012133	-0.115950
1522.819074	0.000000	31.750000	46.198295	0.005671	-0.118535
1524.307954	0.000000	32.000000	46.198295	0.002647	-0.119745
1776.730089	0.000000	32.250000	48.800753	0.395710	-0.295615
1893.778082	0.000000	32.500000	48.800753	0.157608	-0.390856
1941.516019	0.000000	32.750000	48.800753	0.060336	-0.429765
1959.956025	0.000000	33.000000	48.800753	0.022738	-0.444804
2002.393427	0.000000	33.250000	50.058371	0.051015	-0.475936
2018.250913	0.000000	33.500000	50.058371	0.018662	-0.488877
2024.067478	0.000000	33.750000	50.058371	0.006792	-0.493625
2026.186461	0.000000	34.000000	50.058371	0.002467	-0.495355
1529.654838	0.000000	34.250000	44.717346	-0.732670	-0.152197
1345.818041	0.000000	34.500000	44.717346	-0.358653	-0.002590
1261.320687	0.000000	34.750000	44.717346	-0.187207	0.065988
1218.670432	0.000000	35.000000	44.717346	-0.100780	0.100559
1577.254385	0.000000	35.250000	48.390992	0.710726	-0.136453
1776.719202	0.000000	35.500000	48.390992	0.306080	-0.298312
1866.794128	0.000000	35.750000	48.390992	0.122815	-0.371618
1903.616133	0.000000	36.000000	48.390992	0.047801	-0.401623
1730.850473	0.000000	36.250000	46.588833	-0.240242	-0.281633
1663.448280	0.000000	36.500000	46.588833	-0.103012	-0.226741
1635.021696	0.000000	36.750000	46.588833	-0.045192	-0.203613
1622.641581	0.000000	37.000000	46.588833	-0.020022	-0.193545
1372.960470	0.000000	37.250000	44.619594	-0.462347	-0.026730
1263.300399	0.000000	37.500000	44.619594	-0.239726	0.062318
1208.833125	0.000000	37.750000	44.619594	-0.129335	0.106475
1180.129453	0.000000	38.000000	44.619594	-0.071209	0.129725
1271.172308	0.000000	38.250000	45.574012	0.217110	0.074749
1322.383792	0.000000	38.500000	45.574012	0.113436	0.033280
1349.679041	0.000000	38.750000	45.574012	0.058135	0.011159
1363.810178	0.000000	39.000000	45.574012	0.029493	-0.000298
1713.099210	0.000000	39.250000	49.340647	0.604675	-0.241582
1890.283349	0.000000	39.500000	49.340647	0.244630	-0.385600
1964.652884	0.000000	39.750000	49.340647	0.093124	-0.446202
1993.355390	0.000000	40.000000	49.340647	0.034590	-0.469616
1383.594036	0.000000	40.250000	56.409985	-0.982644	-0.059156
1157.681496	0.000000	40.500000	56.409985	-0.523315	0.124575
1048.471049	0.000000	40.750000	56.409985	-0.302016	0.213095
988.955826	0.000000	41.000000	56.409985	-0.181621	0.261253
1433.275261	0.000000	41.250000	48.706382	1.072718	-0.017971
1723.618729	0.000000	41.500000	48.706382	0.485085	-0.253024
1865.289811	0.000000	41.750000	48.706382	0.197104	-0.368216
1924.600510	0.000000	42.000000	48.706382	0.076296	-0.416539
1953.986818	0.000000	42.250000	48.809408	0.036543	-0.439885
1965.181544	0.000000	42.500000	48.809408	0.013713	-0.449017
1969.391040	0.000000	42.750000	48.809408	0.005127	-0.452452
1970.966157	0.000000	43.000000	48.809408	0.001914	-0.453737
1791.202559	0.000000	43.250000	46.881170	-0.237374	-0.326545
1723.170911	0.000000	43.500000	46.881170	-0.098782	-0.271109
1695.298627	0.000000	43.750000	46.881170	-0.042057	-0.248418
1683.511166	0.000000	44.000000	46.881170	-0.018076	-0.238826
1566.672405	0.000000	44.250000	45.970307	-0.190795	-0.158007
1516.282267	0.000000	44.500000	45.970307	-0.088378	-0.117040
1493.283520	0.000000	44.750000	45.970307	-0.041668	-0.098356
1482.515941	0.000000	45.000000	45.970307	-0.019806	-0.089612
1596.122130	0.000000	45.250000	53.026006	0.197979	-0.166522
1650.350974	0.000000	45.500000	53.026006	0.087825	-0.210583
1674.749610	0.000000	45.750000	53.026006	0.038225	-0.230423
1685.434066	0.000000	46.000000	53.026006	0.016497	-0.239114
1520.852167	0.000000	46.250000	54.396581	-0.274959	-0.127294
1450.025087	0.000000	46.500000	54.396581	-0.131039	-0.069726
1417.015473	0.000000	46.750000	54.396581	-0.064034	-0.042924
1401.061253	0.000000	47.000000	54.396581	-0.031665	-0.029976
1676.763000	0.000000	47.250000	48.269323	0.477904	-0.218058
1814.006147	0.000000	47.500000	48.269323	0.199057	-0.329597
