rep	outcome	time
1	0	2000.000000
2	-1	275.545000
3	-1	834.600000
4	-1	1105.800000
5	-1	953.410000
6	-1	1494.990000
7	0	2000.000000
8	-1	843.595000
9	-1	1563.215000
10	-1	766.030000
11	-1	1997.030000
12	0	2000.000000
13	-1	1210.665000
14	-1	944.100000
15	-1	1129.660000
16	-1	1683.280000
17	0	2000.000000
18	-1	680.230000
19	-1	1842.560000
20	-1	462.915000
21	-1	674.815000
22	-1	1211.325000
23	-1	605.185000
24	-1	801.865000
25	-1	1482.165000
26	-1	1290.050000
27	-1	1600.990000
28	-1	680.910000
29	-1	1206.000000
30	-1	1154.785000
31	-1	776.790000
32	-1	1546.260000
33	0	2000.000000
34	-1	349.415000
35	-1	913.235000
36	-1	999.345000
37	-1	1914.700000
38	0	2000.000000
39	-1	677.885000
40	-1	1348.365000
41	-1	1122.250000
42	-1	1300.755000
43	0	2000.000000
44	-1	684.540000
45	-1	387.965000
46	-1	521.590000
47	-1	1854.690000
48	-1	1259.310000
49	-1	1282.955000
50	0	2000.000000
51	-1	1182.240000
52	-1	1418.160000
53	-1	925.540000
54	-1	1583.090000
55	-1	533.070000
56	0	2000.000000
57	-1	887.310000
58	-1	1274.900000
59	0	2000.000000
60	-1	1602.185000
61	-1	1738.545000
62	-1	1088.445000
63	-1	1354.420000
64	-1	1542.955000
65	-1	1103.870000
66	-1	349.530000
67	-1	1713.045000
68	-1	1448.235000
69	-1	982.455000
70	-1	1584.560000
71	-1	1165.510000
72	-1	549.305000
73	0	2000.000000
74	-1	1037.810000
75	-1	1584.000000
76	-1	674.540000
77	-1	1982.310000
78	-1	1462.605000
79	-1	1548.810000
80	-1	871.665000
81	0	2000.000000
82	-1	1571.515000
83	-1	1678.810000
84	0	2000.000000
85	-1	1841.285000
86	-1	1747.250000
87	-1	707.470000
88	-1	1112.280000
89	-1	1160.285000
90	-1	779.930000
91	-1	1373.915000
92	-1	1218.390000
93	-1	910.180000
94	-1	943.345000
95	-1	468.585000
96	-1	369.510000
97	-1	945.335000
98	-1	1158.850000
99	0	2000.000000
100	-1	1590.530000
101	-1	807.345000
102	-1	637.130000
103	-1	504.790000
104	0	2000.000000
105	-1	1874.120000
106	-1	1524.135000
107	-1	496.805000
108	-1	1302.400000
109	-1	1915.925000
110	-1	541.995000
111	-1	1033.230000
112	-1	1292.820000
113	-1	540.175000
114	0	2000.000000
115	0	2000.000000
116	-1	828.505000
117	-1	1707.065000
118	-1	1361.720000
119	-1	1162.815000
120	-1	950.285000
121	-1	1956.955000
122	-1	1189.510000
123	-1	1019.985000
124	0	2000.000000
125	-1	1400.050000
126	-1	1465.295000
127	-1	513.690000
128	-1	1141.990000
129	-1	1051.975000
130	0	2000.000000
131	-1	885.515000
132	-1	830.810000
133	0	2000.000000
134	-1	607.530000
135	-1	1712.995000
136	-1	812.630000
137	-1	1413.635000
138	-1	565.300000
139	-1	1350.620000
140	-1	1238.975000
141	0	2000.000000
142	-1	1244.055000
143	0	2000.000000
144	0	2000.000000
145	-1	734.075000
146	0	2000.000000
147	-1	903.170000
148	-1	1478.750000
149	-1	1089.580000
150	0	2000.000000
151	-1	1069.720000
152	-1	859.375000
153	-1	1961.370000
154	-1	950.385000
155	0	2000.000000
156	-1	833.240000
157	-1	1019.700000
158	-1	844.045000
159	-1	1080.590000
160	-1	731.820000
161	-1	295.525000
162	0	2000.000000
163	-1	453.310000
164	-1	1335.555000
165	-1	742.555000
166	-1	823.020000
167	0	2000.000000
168	0	2000.000000
169	0	2000.000000
170	-1	1335.775000
171	-1	351.570000
172	-1	1617.155000
173	-1	601.655000
174	-1	1154.460000
175	-1	761.400000
176	0	2000.000000
177	-1	1317.855000
178	-1	311.180000
179	0	2000.000000
180	-1	666.105000
181	-1	842.960000
182	-1	1099.535000
183	-1	656.510000
184	-1	1601.575000
185	-1	447.025000
186	-1	1661.230000
187	-1	480.380000
188	-1	1744.995000
189	-1	963.125000
190	-1	1598.555000
191	-1	523.360000
192	-1	562.310000
193	-1	503.625000
194	-1	1181.630000
195	-1	959.020000
196	-1	1681.605000
197	-1	1914.930000
198	-1	1706.535000
199	-1	1633.250000
200	-1	1436.145000
201	0	2000.000000
202	-1	1694.190000
203	-1	1527.995000
204	-1	995.675000
205	-1	1182.470000
206	-1	1767.270000
207	0	2000.000000
208	0	2000.000000
209	-1	1955.780000
210	-1	1406.720000
211	-1	1127.725000
212	-1	1269.015000
213	0	2000.000000
214	-1	528.365000
215	0	2000.000000
216	-1	880.475000
217	-1	1145.840000
218	-1	697.010000
219	-1	810.880000
220	-1	465.160000
221	-1	538.895000
222	0	2000.000000
223	-1	790.655000
224	-1	990.690000
225	-1	603.095000
226	-1	323.780000
227	-1	764.370000
228	-1	1080.270000
229	-1	563.565000
230	-1	647.085000
231	0	2000.000000
232	0	2000.000000
233	-1	299.945000
234	-1	1620.990000
235	-1	1436.630000
236	-1	1168.870000
237	-1	967.850000
238	-1	1034.590000
239	-1	1669.875000
240	-1	203.060000
241	-1	1111.915000
242	-1	773.995000
243	-1	1632.380000
244	-1	887.915000
245	-1	1126.195000
246	-1	565.495000
247	-1	1115.285000
248	-1	1357.940000
249	-1	942.795000
250	-1	866.870000
251	-1	1524.340000
252	-1	1469.070000
253	-1	1574.130000
254	-1	1944.445000
255	-1	1367.090000
256	-1	1585.395000
257	-1	796.625000
258	-1	481.205000
259	-1	956.225000
260	-1	892.770000
261	-1	737.755000
262	-1	896.045000
263	-1	1726.610000
264	-1	877.090000
265	-1	1353.515000
266	-1	1150.340000
267	0	2000.000000
268	-1	1035.190000
269	-1	1725.990000
270	-1	603.220000
271	-1	1637.905000
272	-1	1603.380000
273	-1	1305.055000
274	-1	860.860000
275	-1	1107.790000
276	-1	987.460000
277	-1	801.805000
278	-1	742.690000
279	-1	1325.800000
280	-1	842.370000
281	-1	981.310000
282	-1	904.110000
283	0	2000.000000
284	-1	582.040000
285	-1	1316.910000
286	-1	1138.275000
287	-1	460.075000
288	-1	1199.690000
289	-1	917.725000
290	-1	1219.785000
291	-1	1135.635000
292	-1	758.100000
293	-1	781.415000
294	-1	1220.755000
295	-1	1645.200000
296	-1	1083.500000
297	-1	746.905000
