N1	N2	time	environment	abf_1	abf_2
250.000000	250.000000	0.000000	0.000000	0.000000	0.000000
251.407118	251.407118	0.250000	49.537200	0.022403	0.022403
252.815926	252.815926	0.500000	49.537200	0.022305	0.022305
254.226357	254.226357	0.750000	49.537200	0.022206	0.022206
255.638344	255.638344	1.000000	49.537200	0.022107	0.022107
536.181254	277.750516	1.250000	50.669646	2.663741	0.196339
942.063976	279.653967	1.500000	50.669646	1.853235	-0.131829
1345.400461	260.177589	1.750000	50.669646	1.058673	-0.417535
1624.433280	228.858585	2.000000	50.669646	0.519822	-0.580660
1758.047256	196.446875	2.250000	48.896674	0.213720	-0.626027
1824.380158	167.960995	2.500000	48.896674	0.102038	-0.622688
1858.071275	144.107701	2.750000	48.896674	0.052939	-0.602104
1876.791999	124.363694	3.000000	48.896674	0.030953	-0.577603
1917.865730	107.681953	3.250000	49.935764	0.058115	-0.574353
1937.675999	93.419506	3.500000	49.935764	0.029402	-0.561798
1948.486593	81.341231	3.750000	49.935764	0.017244	-0.546302
1955.326975	71.097889	4.000000	49.935764	0.011678	-0.531264
1938.599052	62.494986	4.250000	50.940751	-0.018017	-0.502609
1934.222141	55.254982	4.500000	50.940751	-0.003168	-0.484467
1934.203818	49.035706	4.750000	50.940751	0.001957	-0.471938
1935.618251	43.635435	5.000000	50.940751	0.003490	-0.462228
1955.428725	38.848862	5.250000	49.613014	0.026061	-0.466832
1964.065268	34.573293	5.500000	49.613014	0.011944	-0.465278
1968.309746	30.792626	5.750000	49.613014	0.006379	-0.461137
1970.780826	27.456419	6.000000	49.613014	0.004067	-0.456443
1855.234977	24.783615	6.250000	47.719811	-0.147229	-0.369849
1812.212388	22.726319	6.500000	47.719811	-0.057864	-0.330633
1795.588498	20.975544	6.750000	47.719811	-0.022574	-0.313568
1789.250265	19.417116	7.000000	47.719811	-0.008395	-0.305273
1878.640202	17.851289	7.250000	51.063057	0.121191	-0.364557
1915.345811	16.230837	7.500000	51.063057	0.047727	-0.391219
1930.039573	14.698300	7.750000	51.063057	0.019026	-0.400121
1936.033481	13.294511	8.000000	51.063057	0.007952	-0.402187
1954.926999	12.004527	8.250000	49.319892	0.023809	-0.413256
1962.398375	10.819802	8.500000	49.319892	0.009541	-0.416969
1965.487688	9.747876	8.750000	49.319892	0.004116	-0.417334
1966.898099	8.782894	9.000000	49.319892	0.002028	-0.416545
1975.566968	7.909432	9.250000	50.378721	0.010803	-0.421020
1979.014078	7.117767	9.500000	50.378721	0.004419	-0.422241
1980.484769	6.404800	9.750000	50.378721	0.002002	-0.422008
1981.200026	5.764005	10.000000	50.378721	0.001067	-0.421303
1956.114136	5.201031	10.250000	48.913417	-0.030398	-0.402430
1946.904137	4.709168	10.500000	48.913417	-0.011211	-0.393927
1943.552154	4.269766	10.750000	48.913417	-0.004016	-0.390309
1942.388252	3.873784	11.000000	48.913417	-0.001319	-0.388564
1903.387773	3.528583	11.250000	48.321609	-0.049228	-0.360310
1888.646246	3.230698	11.500000	48.321609	-0.018932	-0.347690
1883.015720	2.963983	11.750000	48.321609	-0.007237	-0.342563
1880.886254	2.721595	12.000000	48.321609	-0.002700	-0.340340
1841.094785	2.509107	12.250000	47.865216	-0.052851	-0.311925
1825.557831	2.325376	12.500000	47.865216	-0.021046	-0.298894
1819.404061	2.159656	12.750000	47.865216	-0.008376	-0.293547
1816.970514	2.007516	13.000000	47.865216	-0.003295	-0.291259
1853.509255	1.860372	13.250000	48.304901	0.049457	-0.316442
1868.236789	1.715865	13.500000	48.304901	0.019572	-0.328153
1874.093979	1.579652	13.750000	48.304901	0.007748	-0.332653
1876.426199	1.453234	14.000000	48.304901	0.003099	-0.334300
1878.993322	1.336403	14.250000	48.325913	0.003397	-0.335976
1880.024900	1.228619	14.500000	48.325913	0.001383	-0.336601
