Nr	Nb	time	environment	abf_r	abf_b
250.000000	250.000000	0.000000	0.000000	0.000000	0.000000
498.465612	269.733155	0.250000	52.169746	2.496776	0.184282
851.275709	272.216102	0.500000	52.169746	1.791641	-0.102595
1211.721189	256.178071	0.750000	52.169746	1.081193	-0.360370
1477.574334	228.772607	1.000000	52.169746	0.566618	-0.520382
1621.528421	199.032065	1.250000	52.294297	0.258177	-0.578682
1696.949463	171.952985	1.500000	52.294297	0.127044	-0.585520
1736.206402	148.784717	1.750000	52.294297	0.066128	-0.570831
1757.902040	129.350837	2.000000	52.294297	0.037861	-0.549372
1697.164458	113.837077	2.250000	52.990020	-0.085491	-0.477014
1674.928689	101.651394	2.500000	52.990020	-0.030295	-0.434379
1667.878984	91.521684	2.750000	52.990020	-0.007689	-0.408261
1666.922040	82.846885	3.000000	52.990020	0.001334	-0.390036
1770.852011	74.600511	3.250000	51.975387	0.157208	-0.446568
1817.798061	66.489485	3.500000	51.975387	0.068285	-0.468492
1838.968776	59.108149	3.750000	51.975387	0.031201	-0.470897
1849.152487	52.572525	4.000000	51.975387	0.015796	-0.466051
1882.356840	46.710286	4.250000	51.637985	0.045697	-0.478449
1896.852953	41.430962	4.500000	51.637985	0.020471	-0.479649
1903.711535	36.765324	4.750000	51.637985	0.010306	-0.475857
1907.432565	32.663493	5.000000	51.637985	0.006074	-0.470641
1918.704803	29.033217	5.250000	51.517322	0.015494	-0.471624
1923.882546	25.810533	5.500000	51.517322	0.007572	-0.469365
1926.608096	22.963049	5.750000	51.517322	0.004344	-0.465861
1928.305576	20.448318	6.000000	51.517322	0.002939	-0.462187
1905.651140	18.267225	6.250000	51.824920	-0.028072	-0.441774
1897.485576	16.381885	6.500000	51.824920	-0.009885	-0.431323
1894.763399	14.718874	6.750000	51.824920	-0.002977	-0.425760
1894.089644	13.239119	7.000000	51.824920	-0.000395	-0.422235
1860.619093	11.955224	7.250000	52.197615	-0.043498	-0.395896
1847.884819	10.848690	7.500000	52.197615	-0.016645	-0.383291
1843.105793	9.865751	7.750000	52.197615	-0.006106	-0.377420
1841.430627	8.981418	8.000000	52.197615	-0.001971	-0.374278
1864.116281	8.163493	8.250000	51.945102	0.030528	-0.388668
1873.326940	7.400836	8.500000	51.945102	0.012384	-0.394642
1877.127587	6.703701	8.750000	51.945102	0.005209	-0.396339
1878.777469	6.071139	9.000000	51.945102	0.002363	-0.396412
1570.771347	5.657368	9.250000	54.572271	-0.467534	-0.182591
1449.284747	5.484408	9.500000	54.572271	-0.220297	-0.083401
1394.151738	5.406460	9.750000	54.572271	-0.108296	-0.038467
1367.550966	5.371516	10.000000	54.572271	-0.054304	-0.016811
1626.212936	5.238206	10.250000	52.109424	0.466665	-0.190889
1757.720180	4.917309	10.500000	52.109424	0.199867	-0.297073
1815.862624	4.534009	10.750000	52.109424	0.081881	-0.343624
1840.017239	4.149064	11.000000	52.109424	0.033008	-0.362526
1953.343488	3.748256	11.250000	49.809607	0.145296	-0.443549
1998.167832	3.336891	11.500000	49.809607	0.054240	-0.479280
2015.070164	2.954266	11.750000	49.809607	0.020070	-0.492304
2021.374186	2.610373	12.000000	49.809607	0.007487	-0.496758
1946.155210	2.322658	12.250000	51.800097	-0.090796	-0.442544
1918.629159	2.086548	12.500000	51.800097	-0.034459	-0.419611
1908.253519	1.881240	12.750000	51.800097	-0.013137	-0.410736
1904.321483	1.698552	13.000000	51.800097	-0.004971	-0.407163
1966.827991	1.525069	13.250000	50.744198	0.077871	-0.451333
1990.850562	1.358406	13.500000	50.744198	0.029015	-0.470595
1999.853639	1.206351	13.750000	50.744198	0.010773	-0.477636
2003.213843	1.070169	14.000000	50.744198	0.004028	-0.480104
1744.911784	0.973031	14.250000	53.579486	-0.344979	-0.297666
1648.249994	0.913894	14.500000	53.579486	-0.148057	-0.218797
1607.747653	0.869466	14.750000	53.579486	-0.065642	-0.185756
